,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,dim_shown,expected_dim
78,231,wcc15547,Green,0.0,528.0,0,6,9,choice,Before,Blue,3,2,-1.0,3,3,1,1,-1.0,Blue,False
79,240,w3b16ba3,Green,0.0,2603.0,1,1,9,choice,Before,Green,3,-2,0.0,5,5,3,3,0.0,Green,True
80,242,w3b16ba3,Animal,0.0,3077.0,1,3,9,choice,Before,Green,2,-1,-3.0,5,5,2,2,-3.0,Green,False
81,243,w3b16ba3,Blue,0.0,3390.0,1,4,9,choice,Before,Green,2,-1,-1.0,5,5,2,2,-1.0,Green,False
82,244,w3b16ba3,Object,1.0,1718.0,1,5,9,choice,Before,Green,3,1,-1.0,5,5,2,2,0.0,Green,False
83,245,w3b16ba3,Scene,1.0,2072.0,0,6,9,choice,Before,Green,1,-2,2.0,5,5,1,1,2.0,Green,False
84,274,w90f4896,Green,1.0,3102.0,1,1,9,choice,After,Green,1,1,1.0,5,5,1,1,1.0,None,False
85,275,w90f4896,Red,1.0,2059.0,1,2,9,choice,After,Green,2,4,2.0,5,5,1,1,1.0,None,False
86,276,w90f4896,Food,0.0,2892.0,0,3,9,choice,After,Green,3,1,1.0,5,5,2,2,0.0,None,False
87,277,w90f4896,Yellow,0.0,824.0,1,4,9,choice,After,Green,3,-5,-5.0,5,5,3,3,-5.0,None,False
88,278,w90f4896,Scene,0.0,2504.0,1,5,9,choice,After,Green,1,-2,-2.0,5,5,1,1,-2.0,None,False
89,279,w90f4896,Animal,0.0,588.0,0,6,9,choice,After,Green,2,1,-1.0,5,5,2,2,-1.0,None,False
90,288,we2434bb,Yellow,1.0,6788.0,1,1,9,choice,Before,Yellow,1,1,1.0,4,4,1,1,1.0,Yellow,True
91,289,we2434bb,Blue,0.0,3052.0,0,2,9,choice,Before,Yellow,2,1,0.0,4,4,1,1,1.0,Yellow,False
92,290,we2434bb,Red,0.0,3969.0,1,3,9,choice,Before,Yellow,3,-1,-2.0,4,4,2,3,-1.0,Yellow,False
93,291,we2434bb,Scene,1.0,2142.0,0,4,9,choice,Before,Yellow,3,-1,1.0,4,4,2,2,2.0,Yellow,False
94,292,we2434bb,Object,1.0,2772.0,1,5,9,choice,Before,Yellow,1,1,1.0,4,4,1,1,1.0,Yellow,False
95,293,we2434bb,Food,1.0,1419.0,1,6,9,choice,Before,Yellow,2,1,-3.0,4,4,1,1,-2.0,Yellow,False
96,302,w05f4989,Object,0.0,2454.0,1,1,9,choice,Before,Object,2,-4,-4.0,6,6,2,2,-4.0,Object,True
97,303,w05f4989,Food,0.0,4346.0,1,2,9,choice,Before,Object,1,-1,-1.0,6,6,1,1,-1.0,Object,False
98,304,w05f4989,Yellow,0.0,4804.0,1,3,9,choice,Before,Object,3,-1,-1.0,6,6,3,3,-1.0,Object,False
99,305,w05f4989,Green,1.0,1833.0,1,4,9,choice,Before,Object,1,2,2.0,6,6,1,1,2.0,Object,False
100,306,w05f4989,Animal,1.0,1204.0,1,5,9,choice,Before,Object,3,5,5.0,6,6,3,3,5.0,Object,False
101,307,w05f4989,Blue,0.0,1097.0,1,6,9,choice,Before,Object,2,-1,-1.0,6,6,2,2,-1.0,Object,False
102,316,w4ed0320,Animal,0.0,3780.0,1,1,9,choice,Before,Animal,3,-2,-3.0,6,6,3,3,-3.0,Animal,True
103,317,w4ed0320,Red,1.0,2114.0,0,2,9,choice,Before,Animal,1,-2,-2.0,6,6,1,1,-2.0,Animal,False
104,318,w4ed0320,Yellow,0.0,2843.0,0,3,9,choice,Before,Animal,3,4,2.0,6,6,3,3,2.0,Animal,False
105,319,w4ed0320,Object,1.0,1951.0,1,4,9,choice,Before,Animal,1,1,2.0,6,6,1,1,2.0,Animal,False
106,320,w4ed0320,Blue,0.0,1555.0,1,5,9,choice,Before,Animal,2,-2,0.0,6,6,2,2,0.0,Animal,False
107,321,w4ed0320,Scene,0.0,3054.0,0,6,9,choice,Before,Animal,2,1,1.0,6,6,2,2,1.0,Animal,False
108,335,w605fd50,Green,0.0,2254.0,1,1,9,choice,Before,Green,3,-1,3.0,4,4,3,3,3.0,Green,True
109,336,w605fd50,Object,0.0,5346.0,1,2,9,choice,Before,Green,3,-2,0.0,4,4,1,1,2.0,Green,False
