,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,dim_shown,expected_dim
421,1320,wf63c50b,Object,0.0,1463.0,1,2,9,choice,Before,Food,3,-1,0.0,2,2,1,2,-2.0,Food,False
422,1321,wf63c50b,Green,1.0,1898.0,1,3,9,choice,Before,Food,3,1,0.0,2,2,2,2,-1.0,Food,False
423,1333,w3c538ad,Yellow,1.0,2952.0,1,1,9,choice,After,Yellow,2,1,-3.0,4,4,1,1,-1.0,None,False
424,1334,w3c538ad,Blue,1.0,7023.0,1,2,9,choice,After,Yellow,1,1,1.0,4,4,1,2,1.0,None,False
425,1335,w3c538ad,Animal,1.0,4086.0,1,3,9,choice,After,Yellow,2,1,-3.0,4,4,1,1,-1.0,None,False
426,1336,w3c538ad,Food,1.0,2699.0,0,4,9,choice,After,Yellow,3,-2,1.0,4,4,2,2,0.0,None,False
427,1337,w3c538ad,Object,0.0,2080.0,0,5,9,choice,After,Yellow,1,1,2.0,4,4,1,1,2.0,None,False
428,1338,w3c538ad,Red,0.0,1084.0,1,6,9,choice,After,Yellow,3,-2,2.0,4,4,2,2,1.0,None,False
429,1347,wd47555e,Red,0.0,1109.0,1,1,9,choice,Before,Red,3,-2,-2.0,6,6,3,3,-2.0,Red,True
430,1348,wd47555e,Object,,,0,2,9,choice,Before,Red,3,4,4.0,6,6,3,3,4.0,Red,False
431,1349,wd47555e,Animal,0.0,2970.0,1,3,9,choice,Before,Red,2,-4,-4.0,6,6,2,2,-4.0,Red,False
432,1350,wd47555e,Scene,0.0,1213.0,1,4,9,choice,Before,Red,1,-2,-2.0,6,6,1,1,-2.0,Red,False
433,1351,wd47555e,Green,0.0,2600.0,1,5,9,choice,Before,Red,2,-1,-1.0,6,6,2,2,-1.0,Red,False
434,1352,wd47555e,Blue,1.0,932.0,1,6,9,choice,Before,Red,1,1,1.0,6,6,1,1,1.0,Red,False
435,1361,w7232115,Object,1.0,1390.0,0,2,9,choice,Before,Yellow,3,-2,-1.0,1,1,1,1,2.0,Yellow,False
436,1364,w7232115,Green,1.0,1935.0,1,5,9,choice,Before,Yellow,3,5,5.0,1,1,1,1,2.0,Yellow,False
437,1378,wf469935,Food,0.0,5981.0,0,1,9,choice,After,Food,3,2,1.0,5,5,2,2,0.0,None,False
438,1379,wf469935,Green,,,0,2,9,choice,After,Food,3,-4,-4.0,5,5,3,3,-4.0,None,False
439,1380,wf469935,Scene,0.0,5336.0,1,3,9,choice,After,Food,2,-1,-3.0,5,5,2,2,-3.0,None,False
440,1381,wf469935,Animal,1.0,3512.0,0,4,9,choice,After,Food,1,-1,-1.0,5,5,1,1,-1.0,None,False
441,1382,wf469935,Blue,1.0,5198.0,1,5,9,choice,After,Food,1,1,1.0,5,5,1,1,1.0,None,False
442,1383,wf469935,Red,1.0,6408.0,1,6,9,choice,After,Food,2,3,0.0,5,5,1,1,-1.0,None,False
443,1393,w610dd08,Red,1.0,2918.0,1,2,9,choice,Before,Blue,3,3,-2.0,2,2,2,2,-1.0,Blue,False
444,1394,w610dd08,Animal,0.0,1999.0,0,3,9,choice,Before,Blue,3,2,0.0,2,2,1,2,-1.0,Blue,False
445,1396,w610dd08,Food,1.0,1195.0,1,5,9,choice,Before,Blue,1,2,0.0,2,2,1,3,0.0,Blue,False
446,1406,wad32437,Yellow,1.0,6092.0,1,1,9,choice,Before,Yellow,3,2,2.0,6,6,3,3,2.0,Yellow,True
447,1407,wad32437,Animal,0.0,6884.0,1,2,9,choice,Before,Yellow,3,-1,-1.0,6,6,3,3,-1.0,Yellow,False
448,1408,wad32437,Scene,1.0,4027.0,1,3,9,choice,Before,Yellow,2,4,4.0,6,6,2,2,4.0,Yellow,False
449,1409,wad32437,Red,0.0,3265.0,1,4,9,choice,Before,Yellow,1,-2,-2.0,6,6,1,1,-2.0,Yellow,False
450,1410,wad32437,Blue,1.0,5496.0,1,5,9,choice,Before,Yellow,2,1,1.0,6,6,2,2,1.0,Yellow,False
451,1411,wad32437,Object,0.0,4134.0,1,6,9,choice,Before,Yellow,1,-2,-2.0,6,6,1,1,-2.0,Yellow,False
452,1420,w409b474,Blue,0.0,2115.0,1,1,9,choice,After,Blue,1,-1,-1.0,4,4,1,1,-1.0,None,False
453,1421,w409b474,Food,0.0,2067.0,0,2,9,choice,After,Blue,3,2,-3.0,4,4,3,4,-3.0,None,False
454,1422,w409b474,Green,0.0,1757.0,1,3,9,choice,After,Blue,3,-2,0.0,4,4,1,1,-1.0,None,False
455,1423,w409b474,Scene,0.0,1586.0,0,4,9,choice,After,Blue,2,1,0.0,4,4,1,1,-2.0,None,False
456,1425,w409b474,Red,0.0,2726.0,0,6,9,choice,After,Blue,2,4,-3.0,4,4,2,2,-3.0,None,False
457,1434,wc43fbaa,Object,,,0,1,9,choice,Before,Object,1,2,-1.0,1,1,1,1,-1.0,Object,True
458,1435,wc43fbaa,Yellow,1.0,3287.0,0,2,9,choice,Before,Object,3,-1,2.0,1,1,1,1,-1.0,Object,False
459,1455,w3fc2d2c,Animal,0.0,3673.0,1,1,9,choice,After,Animal,1,-1,-1.0,6,6,1,1,-1.0,None,False
460,1456,w3fc2d2c,Object,1.0,3911.0,1,2,9,choice,After,Animal,2,1,1.0,6,6,2,2,1.0,None,False
461,1457,w3fc2d2c,Yellow,1.0,2543.0,1,3,9,choice,After,Animal,2,1,1.0,6,6,2,2,1.0,None,False
462,1458,w3fc2d2c,Blue,1.0,1746.0,1,4,9,choice,After,Animal,1,2,2.0,6,6,1,1,2.0,None,False
463,1459,w3fc2d2c,Scene,1.0,4021.0,1,5,9,choice,After,Animal,3,2,2.0,6,6,3,3,2.0,None,False
464,1460,w3fc2d2c,Red,0.0,3342.0,1,6,9,choice,After,Animal,3,-1,-1.0,6,6,3,3,-1.0,None,False
465,1480,we26c55e,Green,1.0,921.0,0,5,9,choice,Before,Food,2,-1,0.0,1,1,1,3,-1.0,Food,False
466,1481,we26c55e,Scene,1.0,1317.0,1,6,9,choice,Before,Food,2,2,1.0,1,1,1,2,-1.0,Food,False
467,1495,we90925d,Scene,1.0,1368.0,0,2,9,choice,Before,Food,3,-2,-1.0,2,2,1,1,1.0,Food,False
468,1496,we90925d,Object,0.0,1626.0,1,3,9,choice,Before,Food,2,-1,0.0,2,2,1,2,-2.0,Food,False
469,1498,we90925d,Blue,0.0,1911.0,1,5,9,choice,Before,Food,2,-1,-1.0,2,2,2,2,-1.0,Food,False
470,1509,w63ea659,Food,0.0,1368.0,1,2,9,choice,After,Scene,3,-2,-5.0,2,2,2,2,-4.0,None,False
471,1511,w63ea659,Yellow,1.0,1013.0,1,4,9,choice,After,Scene,2,4,0.0,2,2,1,2,-2.0,None,False
472,1512,w63ea659,Red,0.0,1795.0,1,5,9,choice,After,Scene,3,-2,-3.0,2,2,1,2,-2.0,None,False
473,1522,w31b60c3,Blue,1.0,2349.0,1,1,9,choice,Before,Blue,2,1,1.0,2,2,2,2,1.0,Blue,True
474,1525,w31b60c3,Object,0.0,1716.0,0,4,9,choice,Before,Blue,2,4,4.0,2,2,1,1,2.0,Blue,False
475,1527,w31b60c3,Scene,0.0,3570.0,1,6,9,choice,Before,Blue,3,-2,-4.0,2,2,1,1,-1.0,Blue,False
476,1547,w5fb19e8,Animal,,,0,1,9,choice,After,Animal,1,1,-1.0,5,5,1,2,-1.0,None,False
477,1548,w5fb19e8,Red,0.0,4336.0,1,2,9,choice,After,Animal,2,-3,0.0,5,5,1,2,-2.0,None,False
478,1549,w5fb19e8,Object,1.0,3225.0,1,3,9,choice,After,Animal,3,2,2.0,5,5,3,3,2.0,None,False
479,1550,w5fb19e8,Scene,0.0,3118.0,1,4,9,choice,After,Animal,2,-2,1.0,5,5,1,1,-1.0,None,False
480,1551,w5fb19e8,Yellow,1.0,2397.0,1,5,9,choice,After,Animal,1,2,2.0,5,5,1,1,2.0,None,False
481,1552,w5fb19e8,Green,1.0,6042.0,1,6,9,choice,After,Animal,3,2,0.0,5,5,3,3,0.0,None,False
482,1561,wdde7ef1,Object,0.0,2562.0,1,1,9,choice,Before,Object,2,-1,-1.0,2,2,1,1,-2.0,Object,True
483,1562,wdde7ef1,Blue,1.0,3011.0,0,2,9,choice,Before,Object,2,-1,3.0,2,2,1,1,2.0,Object,False
484,1563,wdde7ef1,Red,0.0,2204.0,1,3,9,choice,Before,Object,3,-2,-2.0,2,2,1,2,-2.0,Object,False
485,1566,wdde7ef1,Scene,1.0,3802.0,1,6,9,choice,Before,Object,3,2,2.0,2,2,1,1,2.0,Object,False
486,1576,w56b42b0,Red,1.0,1616.0,0,2,9,choice,Before,Blue,3,-2,-4.0,2,2,1,2,-2.0,Blue,False
487,1578,w56b42b0,Green,1.0,1826.0,0,4,9,choice,Before,Blue,1,-2,-2.0,2,2,1,1,-2.0,Blue,False
488,1580,w56b42b0,Animal,1.0,1991.0,0,6,9,choice,Before,Blue,3,-2,-3.0,2,2,2,2,-4.0,Blue,False
489,1589,w01da968,Green,1.0,3724.0,1,2,9,choice,Before,Food,2,1,-1.0,2,2,1,1,1.0,Food,False
490,1591,w01da968,Scene,1.0,2874.0,1,4,9,choice,Before,Food,3,1,1.0,2,2,2,2,3.0,Food,False
491,1593,w01da968,Yellow,1.0,2026.0,1,6,9,choice,Before,Food,3,1,2.0,2,2,1,1,2.0,Food,False
492,1611,wc8b5d36,Object,0.0,1843.0,0,2,9,choice,After,Blue,1,2,1.0,4,4,1,1,1.0,None,False
493,1612,wc8b5d36,Red,1.0,3631.0,0,3,9,choice,After,Blue,2,-1,1.0,4,4,1,2,2.0,None,False
494,1613,wc8b5d36,Scene,1.0,934.0,1,4,9,choice,After,Blue,2,3,4.0,4,4,2,2,4.0,None,False
495,1614,wc8b5d36,Animal,0.0,2080.0,1,5,9,choice,After,Blue,3,-5,-1.0,4,4,1,1,1.0,None,False
496,1615,wc8b5d36,Green,1.0,1221.0,1,6,9,choice,After,Blue,3,2,4.0,4,4,3,3,4.0,None,False
497,1635,wfd8b568,Animal,0.0,2753.0,1,1,9,choice,After,Animal,2,-1,1.0,4,4,1,1,-1.0,None,False
498,1636,wfd8b568,Food,1.0,2065.0,0,2,9,choice,After,Animal,3,-3,2.0,4,4,3,3,2.0,None,False
499,1638,wfd8b568,Red,1.0,1399.0,1,4,9,choice,After,Animal,3,1,3.0,4,4,1,1,2.0,None,False
500,1639,wfd8b568,Green,1.0,3813.0,1,5,9,choice,After,Animal,1,1,-1.0,4,4,1,2,-1.0,None,False
501,1640,wfd8b568,Yellow,0.0,1747.0,1,6,9,choice,After,Animal,2,-4,0.0,4,4,2,3,0.0,None,False
502,1664,wfbb00e1,Yellow,0.0,1034.0,0,2,9,choice,After,Animal,3,1,-4.0,2,2,1,2,-1.0,None,False
503,1665,wfbb00e1,Green,1.0,1090.0,0,3,9,choice,After,Animal,2,-1,-1.0,2,2,1,2,-2.0,None,False
504,1666,wfbb00e1,Scene,1.0,1466.0,1,4,9,choice,After,Animal,3,1,-1.0,2,2,1,1,-2.0,None,False
505,1668,wfbb00e1,Food,0.0,1827.0,1,6,9,choice,After,Animal,2,-4,0.0,2,2,1,2,-1.0,None,False
506,1679,wea09e5e,Object,1.0,3098.0,0,2,9,choice,After,Blue,1,-2,-2.0,5,5,1,2,-2.0,None,False
507,1680,wea09e5e,Animal,0.0,2140.0,0,3,9,choice,After,Blue,3,5,4.0,5,5,2,2,3.0,None,False
508,1681,wea09e5e,Scene,1.0,1341.0,0,4,9,choice,After,Blue,2,-2,-2.0,5,5,2,2,-2.0,None,False
509,1682,wea09e5e,Green,0.0,1727.0,1,5,9,choice,After,Blue,3,-2,-2.0,5,5,3,3,-2.0,None,False
510,1683,wea09e5e,Red,0.0,1787.0,0,6,9,choice,After,Blue,2,1,1.0,5,5,2,3,1.0,None,False
