,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value
30,57,wc73f4d8,Food,1.0,2652.0,0,1,3,choice,Before,Food,3,-3,-3.0,4,4,2,3,-2.0
31,58,wc73f4d8,Red,0.0,2823.0,1,1,4,choice,After,Red,1,-1,2.0,5,5,1,1,2.0
32,59,wc73f4d8,Green,1.0,2330.0,1,1,5,choice,Before,Green,3,3,3.0,4,4,3,3,3.0
33,60,wc73f4d8,Scene,0.0,2051.0,1,1,6,choice,After,Scene,3,-1,-2.0,6,6,3,3,-2.0
34,61,wc73f4d8,Green,0.0,1298.0,1,1,7,choice,Before,Green,3,-1,-3.0,4,4,3,4,-3.0
35,62,wc73f4d8,Scene,0.0,2006.0,1,1,8,choice,After,Scene,1,-2,-2.0,4,4,1,2,-2.0
36,69,webf5097,Scene,1.0,3718.0,0,1,1,choice,After,Scene,2,-1,0.0,5,5,2,2,0.0
37,70,webf5097,Food,1.0,1913.0,1,1,2,choice,Before,Food,3,2,2.0,5,5,3,3,2.0
38,71,webf5097,Animal,0.0,4482.0,1,1,3,choice,After,Animal,2,-3,-3.0,5,5,2,2,-3.0
39,72,webf5097,Red,1.0,1265.0,1,1,4,choice,Before,Red,3,1,1.0,5,5,3,3,1.0
40,73,webf5097,Red,0.0,4735.0,1,1,5,choice,After,Red,2,-2,-2.0,5,5,2,2,-2.0
41,74,webf5097,Scene,1.0,1516.0,1,1,6,choice,Before,Scene,2,3,3.0,6,6,2,2,3.0
42,75,webf5097,Food,1.0,4580.0,1,1,7,choice,After,Food,1,2,2.0,4,4,1,2,2.0
43,76,webf5097,Yellow,0.0,1519.0,1,1,8,choice,Before,Yellow,2,-1,-1.0,5,5,1,2,-2.0
44,84,w68730bb,Green,0.0,1637.0,1,1,2,choice,Before,Green,2,-3,4.0,3,3,1,1,2.0
45,85,w68730bb,Animal,1.0,2152.0,1,1,4,choice,Before,Animal,2,1,0.0,2,2,1,2,1.0
46,86,w68730bb,Yellow,0.0,1577.0,1,1,6,choice,Before,Yellow,2,-2,-3.0,2,2,1,1,-1.0
47,96,we9631be,Blue,1.0,1501.0,0,1,4,choice,After,Blue,2,-1,4.0,3,3,1,1,2.0
48,107,w245142a,Yellow,1.0,3632.0,1,1,1,choice,After,Yellow,3,1,4.0,4,4,1,1,1.0
49,108,w245142a,Food,0.0,1941.0,1,1,2,choice,Before,Food,3,-3,-3.0,5,5,3,3,-3.0
50,109,w245142a,Scene,0.0,5341.0,1,1,3,choice,After,Scene,3,-3,-3.0,4,4,2,2,-4.0
51,110,w245142a,Green,1.0,2344.0,1,1,4,choice,Before,Green,1,2,2.0,5,5,1,1,2.0
52,111,w245142a,Blue,0.0,7481.0,0,1,5,choice,After,Blue,1,2,2.0,6,6,1,1,2.0
53,112,w245142a,Green,0.0,901.0,1,1,6,choice,Before,Green,3,-2,-2.0,2,2,2,2,-3.0
54,113,w245142a,Food,1.0,2015.0,0,1,7,choice,After,Food,1,-1,1.0,3,3,1,1,1.0
55,114,w245142a,Object,1.0,376.0,1,1,8,choice,Before,Object,3,2,2.0,5,5,3,3,2.0
56,122,w4bf9dec,Green,0.0,2690.0,1,1,2,choice,After,Green,1,-2,-2.0,6,6,1,1,-2.0
57,123,w4bf9dec,Animal,1.0,3712.0,0,1,3,choice,Before,Animal,2,-1,-2.0,6,6,2,2,-2.0
58,124,w4bf9dec,Object,1.0,3989.0,1,1,4,choice,After,Object,1,1,1.0,5,5,1,1,1.0
59,125,w4bf9dec,Yellow,1.0,1434.0,1,1,5,choice,Before,Yellow,2,3,3.0,6,6,2,2,3.0
60,126,w4bf9dec,Green,0.0,2580.0,0,1,6,choice,After,Green,3,3,1.0,5,5,2,2,-1.0
61,127,w4bf9dec,Animal,1.0,2186.0,0,1,7,choice,Before,Animal,1,-1,-1.0,4,4,1,2,-1.0
62,128,w4bf9dec,Blue,1.0,5224.0,1,1,8,choice,After,Blue,3,2,2.0,2,2,1,2,1.0
63,135,w277fccf,Food,0.0,4625.0,0,1,1,choice,After,Food,3,2,-5.0,2,2,1,1,-2.0
64,136,w277fccf,Green,1.0,4192.0,0,1,2,choice,Before,Green,2,-3,-3.0,5,5,2,2,-3.0
65,137,w277fccf,Scene,,,0,1,3,choice,After,Scene,1,1,1.0,5,5,1,2,1.0
66,138,w277fccf,Animal,0.0,2866.0,1,1,4,choice,Before,Animal,2,-1,-1.0,5,5,2,2,-1.0
67,139,w277fccf,Scene,1.0,5163.0,0,1,5,choice,After,Scene,3,-1,-1.0,6,6,3,3,-1.0
68,140,w277fccf,Yellow,0.0,2546.0,1,1,6,choice,Before,Yellow,2,-1,-1.0,6,6,2,2,-1.0
69,141,w277fccf,Red,1.0,5637.0,1,1,7,choice,After,Red,1,2,2.0,6,6,1,1,2.0
70,142,w277fccf,Red,1.0,1415.0,1,1,8,choice,Before,Red,3,6,6.0,5,5,2,2,4.0
71,150,w50c12e5,Yellow,1.0,3501.0,1,1,2,choice,Before,Yellow,3,1,-1.0,5,5,3,3,-1.0
72,151,w50c12e5,Scene,1.0,5764.0,0,1,3,choice,After,Scene,1,-2,-2.0,4,4,1,1,-2.0
73,153,w50c12e5,Green,0.0,3379.0,1,1,5,choice,After,Green,3,-1,-1.0,4,4,3,3,-1.0
74,154,w50c12e5,Scene,1.0,1514.0,1,1,6,choice,Before,Scene,1,2,2.0,3,3,1,1,2.0
75,155,w50c12e5,Scene,0.0,2501.0,1,1,7,choice,After,Scene,3,-2,-5.0,2,2,1,2,-2.0
76,156,w50c12e5,Blue,1.0,1888.0,1,1,8,choice,Before,Blue,2,1,1.0,4,4,2,2,1.0
77,177,w8d745f1,Green,1.0,4113.0,1,1,1,choice,After,Green,2,1,-4.0,4,4,1,1,-2.0
78,178,w8d745f1,Red,1.0,4208.0,0,1,2,choice,Before,Red,3,-2,-2.0,5,5,2,2,0.0
79,179,w8d745f1,Scene,1.0,5763.0,1,1,3,choice,After,Scene,1,2,2.0,6,6,1,1,2.0
80,180,w8d745f1,Red,0.0,6718.0,1,1,4,choice,Before,Red,1,-1,-1.0,6,6,1,1,-1.0
81,181,w8d745f1,Green,0.0,4323.0,1,1,5,choice,After,Green,3,-1,-1.0,6,6,3,3,-1.0
82,182,w8d745f1,Yellow,0.0,4064.0,1,1,6,choice,Before,Yellow,1,-2,-2.0,6,6,1,1,-2.0
83,183,w8d745f1,Scene,1.0,3173.0,0,1,7,choice,After,Scene,3,-2,-2.0,6,6,3,3,-2.0
84,184,w8d745f1,Food,1.0,6406.0,1,1,8,choice,Before,Food,1,1,1.0,5,5,1,1,1.0
85,205,w02461c5,Red,0.0,4774.0,1,1,1,choice,Before,Red,2,-1,-4.0,5,5,2,2,-4.0
86,206,w02461c5,Scene,1.0,3562.0,1,1,2,choice,After,Scene,3,3,3.0,5,5,3,3,3.0
87,208,w02461c5,Animal,0.0,4378.0,1,1,4,choice,After,Animal,3,-1,1.0,4,4,2,2,0.0
88,209,w02461c5,Object,0.0,1534.0,1,1,5,choice,Before,Object,3,-1,-2.0,4,4,2,2,-3.0
89,210,w02461c5,Yellow,0.0,2307.0,0,1,6,choice,After,Yellow,1,2,2.0,3,3,1,1,2.0
90,211,w02461c5,Food,,,0,1,8,choice,After,Food,3,2,1.0,1,1,1,1,1.0
91,218,wcc15547,Yellow,1.0,2664.0,1,1,1,choice,Before,Yellow,2,1,-3.0,4,4,1,1,-2.0
92,220,wcc15547,Animal,1.0,2317.0,0,1,3,choice,Before,Animal,3,-2,0.0,2,2,1,1,-1.0
93,221,wcc15547,Object,1.0,2709.0,0,1,4,choice,After,Object,3,-2,3.0,3,3,2,3,4.0
94,222,wcc15547,Green,1.0,1877.0,0,1,5,choice,Before,Green,3,-2,1.0,4,4,2,2,3.0
95,223,wcc15547,Blue,0.0,1899.0,1,1,6,choice,After,Blue,3,-3,-1.0,1,1,1,2,-1.0
96,225,wcc15547,Yellow,0.0,1750.0,0,1,8,choice,After,Yellow,2,4,2.0,2,2,1,2,1.0
97,232,w3b16ba3,Yellow,0.0,7061.0,1,1,1,choice,Before,Yellow,3,-5,-4.0,2,2,1,1,-2.0
98,233,w3b16ba3,Scene,1.0,3821.0,1,1,2,choice,After,Scene,3,3,3.0,4,4,3,3,3.0
99,234,w3b16ba3,Scene,1.0,1164.0,1,1,3,choice,Before,Scene,2,4,3.0,5,5,2,2,3.0
100,235,w3b16ba3,Animal,0.0,2064.0,0,1,4,choice,After,Animal,3,3,1.0,4,4,2,2,0.0
101,236,w3b16ba3,Yellow,1.0,1727.0,1,1,5,choice,Before,Yellow,1,1,1.0,5,5,1,1,1.0
102,237,w3b16ba3,Red,1.0,1194.0,1,1,6,choice,After,Red,3,2,2.0,5,5,3,3,2.0
103,238,w3b16ba3,Red,0.0,1550.0,1,1,7,choice,Before,Red,1,-2,-2.0,3,3,1,1,-2.0
104,239,w3b16ba3,Yellow,1.0,3975.0,1,1,8,choice,After,Yellow,2,2,1.0,4,4,1,1,-1.0
105,259,w08f65eb,Food,1.0,1855.0,0,1,2,choice,Before,Food,2,-2,-2.0,6,6,2,2,-2.0
106,262,w08f65eb,Yellow,0.0,1848.0,0,1,5,choice,After,Yellow,1,2,-2.0,3,3,1,1,-2.0
107,264,w08f65eb,Food,0.0,1684.0,1,1,7,choice,After,Food,2,-1,1.0,1,1,1,1,2.0
108,266,w90f4896,Object,1.0,3281.0,1,1,1,choice,After,Object,3,2,2.0,2,2,1,1,2.0
109,267,w90f4896,Object,1.0,3790.0,1,1,2,choice,Before,Object,2,3,3.0,5,5,2,3,3.0
110,268,w90f4896,Red,,,0,1,3,choice,After,Red,2,2,2.0,5,5,2,3,2.0
111,270,w90f4896,Scene,1.0,3845.0,0,1,5,choice,After,Scene,1,-2,-2.0,5,5,1,2,-2.0
112,271,w90f4896,Scene,1.0,1056.0,1,1,6,choice,Before,Scene,2,2,3.0,4,4,2,2,3.0
113,272,w90f4896,Yellow,0.0,2580.0,0,1,7,choice,After,Yellow,2,1,3.0,5,5,1,2,2.0
114,273,w90f4896,Red,0.0,1414.0,1,1,8,choice,Before,Red,1,-1,-1.0,6,6,1,1,-1.0
115,280,we2434bb,Red,0.0,3786.0,1,1,1,choice,Before,Red,2,-1,-2.0,4,4,1,1,-1.0
116,281,we2434bb,Scene,1.0,5706.0,0,1,2,choice,After,Scene,3,-1,-1.0,5,5,3,3,-1.0
117,282,we2434bb,Scene,0.0,2752.0,1,1,3,choice,Before,Scene,2,-3,-2.0,3,3,2,3,-2.0
118,283,we2434bb,Blue,1.0,7155.0,1,1,4,choice,After,Blue,2,1,1.0,4,4,2,3,1.0
119,284,we2434bb,Food,0.0,1186.0,1,1,5,choice,Before,Food,1,-2,-2.0,5,5,1,1,-2.0
120,285,we2434bb,Scene,1.0,5071.0,1,1,6,choice,After,Scene,3,3,3.0,6,6,3,3,3.0
121,286,we2434bb,Green,1.0,2398.0,1,1,7,choice,Before,Green,3,1,1.0,3,3,3,3,1.0
122,287,we2434bb,Red,0.0,2540.0,1,1,8,choice,After,Red,3,-1,-1.0,4,4,3,3,-1.0
123,294,w05f4989,Yellow,0.0,3220.0,0,1,1,choice,Before,Yellow,2,1,1.0,6,6,2,2,1.0
124,295,w05f4989,Yellow,,,0,1,2,choice,After,Yellow,3,2,2.0,6,6,3,3,2.0
125,296,w05f4989,Green,1.0,2004.0,1,1,3,choice,Before,Green,1,1,1.0,6,6,1,1,1.0
126,297,w05f4989,Animal,1.0,5940.0,0,1,4,choice,After,Animal,2,-1,-1.0,6,6,2,2,-1.0
127,298,w05f4989,Green,0.0,1162.0,1,1,5,choice,Before,Green,3,-2,-2.0,6,6,3,3,-2.0
128,299,w05f4989,Scene,1.0,2465.0,1,1,6,choice,After,Scene,1,1,1.0,6,6,1,1,1.0
129,300,w05f4989,Green,0.0,1936.0,1,1,7,choice,Before,Green,3,-1,-1.0,5,5,2,3,0.0
130,301,w05f4989,Food,1.0,3269.0,1,1,8,choice,After,Food,3,1,1.0,6,6,3,3,1.0
131,309,w4ed0320,Blue,1.0,2484.0,1,1,2,choice,After,Blue,2,1,1.0,5,5,2,2,1.0
132,310,w4ed0320,Food,0.0,1739.0,1,1,3,choice,Before,Food,3,-4,-4.0,6,6,3,3,-4.0
133,311,w4ed0320,Scene,1.0,6635.0,1,1,4,choice,After,Scene,2,1,1.0,6,6,2,2,1.0
134,312,w4ed0320,Green,1.0,1085.0,1,1,5,choice,Before,Green,3,3,2.0,4,4,2,2,4.0
135,313,w4ed0320,Scene,,,0,1,6,choice,After,Scene,2,-4,1.0,6,6,2,2,1.0
136,314,w4ed0320,Scene,0.0,605.0,1,1,7,choice,Before,Scene,3,-5,-3.0,6,6,3,3,-3.0
137,315,w4ed0320,Blue,1.0,2514.0,1,1,8,choice,After,Blue,3,2,-1.0,2,2,1,1,2.0
138,322,w4dce7b5,Food,1.0,2915.0,0,1,1,choice,Before,Food,1,-1,2.0,4,4,1,2,2.0
139,323,w4dce7b5,Red,1.0,3200.0,1,1,2,choice,After,Red,1,2,2.0,5,5,1,1,4.0
140,324,w4dce7b5,Yellow,1.0,1578.0,1,1,3,choice,Before,Yellow,3,3,-3.0,6,6,3,3,-3.0
141,325,w4dce7b5,Object,1.0,1726.0,1,1,4,choice,After,Object,3,2,0.0,2,2,2,2,1.0
142,327,w605fd50,Food,0.0,3026.0,1,1,1,choice,Before,Food,1,-2,-2.0,4,4,1,2,-2.0
143,328,w605fd50,Scene,0.0,7115.0,1,1,2,choice,After,Scene,3,-1,-1.0,5,5,2,2,-3.0
144,330,w605fd50,Red,0.0,6503.0,1,1,4,choice,After,Red,1,-2,-2.0,5,5,1,2,-2.0
145,331,w605fd50,Green,1.0,767.0,1,1,5,choice,Before,Green,3,2,2.0,4,4,3,3,2.0
146,332,w605fd50,Food,0.0,5049.0,1,1,6,choice,After,Food,2,-3,-1.0,5,5,2,2,-1.0
147,333,w605fd50,Scene,0.0,1097.0,1,1,7,choice,Before,Scene,1,-2,-2.0,4,4,1,1,-2.0
148,334,w605fd50,Green,1.0,2155.0,0,1,8,choice,After,Green,1,-2,1.0,1,1,1,4,1.0
149,341,wb772565,Object,0.0,2202.0,1,1,1,choice,Before,Object,2,-2,-2.0,6,6,2,2,-2.0
150,342,wb772565,Blue,,,0,1,2,choice,After,Blue,1,-1,-2.0,5,5,1,2,-2.0
151,343,wb772565,Green,1.0,1591.0,1,1,3,choice,Before,Green,2,3,3.0,5,5,1,1,2.0
152,344,wb772565,Object,1.0,1783.0,1,1,4,choice,After,Object,3,2,2.0,5,5,3,3,2.0
153,345,wb772565,Green,1.0,1005.0,1,1,5,choice,Before,Green,3,4,4.0,6,6,3,3,4.0
154,346,wb772565,Food,0.0,3616.0,1,1,6,choice,After,Food,3,-1,0.0,5,5,3,3,0.0
155,348,wb772565,Blue,1.0,2364.0,1,1,8,choice,After,Blue,2,3,3.0,3,3,1,2,2.0
156,356,w3fdf5b1,Food,1.0,2133.0,1,1,2,choice,Before,Food,2,2,2.0,5,5,2,2,2.0
157,357,w3fdf5b1,Green,1.0,5612.0,1,1,3,choice,After,Green,2,1,-1.0,6,6,2,2,-1.0
158,358,w3fdf5b1,Yellow,1.0,3330.0,0,1,4,choice,Before,Yellow,2,-1,2.0,3,3,1,1,1.0
159,359,w3fdf5b1,Blue,1.0,1664.0,0,1,5,choice,After,Blue,2,-1,0.0,6,6,2,2,0.0
160,360,w3fdf5b1,Animal,0.0,5036.0,1,1,6,choice,Before,Animal,2,-3,-2.0,5,5,1,1,-1.0
161,361,w3fdf5b1,Yellow,0.0,3866.0,1,1,7,choice,After,Yellow,3,-2,3.0,5,5,2,3,2.0
162,362,w3fdf5b1,Blue,0.0,3178.0,0,1,8,choice,Before,Blue,2,1,1.0,5,5,2,2,1.0
163,369,w11538ef,Blue,1.0,3038.0,1,1,1,choice,Before,Blue,3,1,2.0,3,3,1,1,2.0
164,370,w11538ef,Food,,,0,1,2,choice,After,Food,1,-1,-1.0,5,5,1,1,-1.0
165,371,w11538ef,Scene,1.0,2537.0,1,1,3,choice,Before,Scene,1,1,1.0,4,4,1,1,1.0
166,372,w11538ef,Animal,1.0,2313.0,1,1,4,choice,After,Animal,3,2,2.0,6,6,3,3,2.0
167,373,w11538ef,Animal,1.0,1598.0,1,1,5,choice,Before,Animal,2,2,2.0,5,5,2,3,2.0
168,374,w11538ef,Red,0.0,5223.0,1,1,6,choice,After,Red,2,-3,-2.0,6,6,2,2,-2.0
169,375,w11538ef,Yellow,1.0,2710.0,1,1,7,choice,Before,Yellow,2,3,3.0,5,5,2,2,3.0
170,376,w11538ef,Blue,0.0,5705.0,1,1,8,choice,After,Blue,3,-3,1.0,6,6,3,3,1.0
171,384,wdab535b,Animal,0.0,4937.0,0,1,2,choice,After,Animal,1,1,1.0,3,3,1,1,1.0
172,385,wdab535b,Yellow,0.0,1302.0,1,1,3,choice,Before,Yellow,1,-2,1.0,3,3,1,1,1.0
173,387,wdab535b,Blue,0.0,1430.0,1,1,5,choice,Before,Blue,2,-4,-4.0,3,3,2,2,-4.0
174,388,wdab535b,Red,1.0,2484.0,0,1,6,choice,After,Red,3,-4,-4.0,1,1,1,1,-2.0
175,397,wc294ae3,Green,1.0,2379.0,1,1,2,choice,Before,Green,1,2,-1.0,5,5,1,1,-1.0
176,398,wc294ae3,Red,0.0,3273.0,1,1,3,choice,After,Red,2,-1,0.0,5,5,2,2,0.0
177,399,wc294ae3,Animal,1.0,1302.0,0,1,4,choice,Before,Animal,3,-3,3.0,2,2,1,1,2.0
178,401,wc294ae3,Scene,1.0,3893.0,1,1,6,choice,Before,Scene,3,1,2.0,3,3,1,1,2.0
179,402,wc294ae3,Green,0.0,4469.0,1,1,7,choice,After,Green,3,-3,4.0,3,3,2,2,3.0
180,403,wc294ae3,Food,0.0,1556.0,1,1,8,choice,Before,Food,3,-2,-2.0,3,3,2,2,-3.0
181,410,w0d62ec5,Blue,0.0,2381.0,1,1,1,choice,Before,Blue,2,-3,-4.0,5,5,2,2,-4.0
182,411,w0d62ec5,Green,0.0,1648.0,1,1,2,choice,After,Green,3,-1,-1.0,6,6,3,3,-1.0
183,412,w0d62ec5,Object,1.0,3365.0,1,1,3,choice,Before,Object,1,2,2.0,5,5,1,1,2.0
184,415,w0d62ec5,Food,1.0,1722.0,0,1,6,choice,After,Food,3,-1,4.0,2,2,1,1,2.0
185,416,w0d62ec5,Green,0.0,649.0,1,1,7,choice,Before,Green,1,-2,-2.0,5,5,1,1,-2.0
186,417,w0d62ec5,Blue,0.0,7293.0,0,1,8,choice,After,Blue,3,2,3.0,3,3,2,2,4.0
187,424,wb0b75c3,Scene,0.0,2331.0,1,1,1,choice,Before,Scene,2,-1,-1.0,5,5,2,3,-1.0
188,425,wb0b75c3,Green,0.0,3844.0,1,1,2,choice,After,Green,3,-3,-3.0,6,6,3,3,-3.0
189,426,wb0b75c3,Red,,,0,1,3,choice,Before,Red,3,-2,1.0,4,4,2,2,0.0
190,427,wb0b75c3,Object,1.0,3573.0,0,1,4,choice,After,Object,2,-1,3.0,4,4,2,2,3.0
191,428,wb0b75c3,Object,1.0,2943.0,1,1,5,choice,Before,Object,1,1,1.0,5,5,1,1,1.0
192,429,wb0b75c3,Yellow,0.0,5138.0,1,1,6,choice,After,Yellow,1,-1,1.0,5,5,1,1,1.0
193,430,wb0b75c3,Food,1.0,1760.0,1,1,7,choice,Before,Food,1,2,-2.0,4,4,1,1,-2.0
194,431,wb0b75c3,Yellow,1.0,1833.0,1,1,8,choice,After,Yellow,2,4,4.0,4,4,2,2,4.0
195,438,w4400cbf,Yellow,1.0,1481.0,1,1,1,choice,After,Yellow,3,4,4.0,5,5,2,2,3.0
196,439,w4400cbf,Object,0.0,3609.0,1,1,2,choice,Before,Object,1,-2,-2.0,5,5,1,1,-2.0
197,440,w4400cbf,Scene,0.0,5359.0,0,1,3,choice,After,Scene,2,2,-2.0,6,6,2,2,-2.0
198,441,w4400cbf,Yellow,0.0,1815.0,1,1,4,choice,Before,Yellow,3,-1,-1.0,5,5,3,3,-1.0
199,443,w4400cbf,Blue,1.0,4188.0,0,1,6,choice,Before,Blue,2,-3,-3.0,5,5,2,2,-3.0
200,444,w4400cbf,Red,0.0,5747.0,1,1,7,choice,After,Red,1,-2,-2.0,5,5,1,1,-2.0
201,445,w4400cbf,Animal,0.0,4824.0,1,1,8,choice,Before,Animal,2,-3,-3.0,5,5,2,2,-3.0
202,465,wbc79189,Red,1.0,1567.0,1,1,1,choice,After,Red,2,3,3.0,6,6,2,2,3.0
203,466,wbc79189,Food,1.0,2856.0,1,1,2,choice,Before,Food,2,1,1.0,6,6,2,2,1.0
204,467,wbc79189,Animal,0.0,5279.0,0,1,3,choice,After,Animal,1,2,1.0,5,5,1,1,1.0
205,468,wbc79189,Scene,0.0,1029.0,1,1,4,choice,Before,Scene,2,-1,-1.0,4,4,2,2,-1.0
206,469,wbc79189,Yellow,0.0,5458.0,1,1,5,choice,After,Yellow,1,-1,-1.0,5,5,1,2,-1.0
207,470,wbc79189,Food,1.0,814.0,1,1,6,choice,Before,Food,2,1,1.0,5,5,2,2,1.0
208,471,wbc79189,Red,0.0,2147.0,1,1,7,choice,After,Red,1,-2,-2.0,5,5,1,1,-2.0
209,472,wbc79189,Scene,0.0,1265.0,1,1,8,choice,Before,Scene,1,-2,-2.0,6,6,1,1,-2.0
210,479,w6bec3e7,Blue,1.0,4338.0,1,1,1,choice,After,Blue,2,3,3.0,5,5,2,2,3.0
211,480,w6bec3e7,Scene,0.0,7361.0,1,1,2,choice,Before,Scene,1,-1,-1.0,5,5,1,1,-1.0
212,481,w6bec3e7,Red,,,0,1,3,choice,After,Red,3,2,2.0,6,6,3,3,2.0
213,482,w6bec3e7,Animal,1.0,1137.0,1,1,4,choice,Before,Animal,1,2,2.0,2,2,1,1,2.0
214,483,w6bec3e7,Scene,1.0,3672.0,0,1,5,choice,After,Scene,2,-1,1.0,5,5,2,2,1.0
215,484,w6bec3e7,Food,0.0,772.0,1,1,6,choice,Before,Food,3,-2,-2.0,4,4,3,3,-2.0
216,485,w6bec3e7,Green,1.0,4476.0,0,1,7,choice,After,Green,1,-2,-1.0,4,4,1,2,-1.0
217,486,w6bec3e7,Yellow,1.0,1018.0,1,1,8,choice,Before,Yellow,2,3,3.0,3,3,2,2,3.0
218,493,w6ea0c26,Blue,1.0,5935.0,1,1,1,choice,Before,Blue,2,1,-1.0,4,4,1,2,1.0
219,494,w6ea0c26,Object,0.0,4081.0,1,1,2,choice,After,Object,2,-1,-1.0,3,3,1,1,-2.0
220,495,w6ea0c26,Red,1.0,995.0,1,1,3,choice,Before,Red,3,2,1.0,5,5,2,3,0.0
221,497,w6ea0c26,Scene,1.0,4568.0,0,1,5,choice,Before,Scene,2,-1,-3.0,6,6,1,1,-2.0
222,498,w6ea0c26,Scene,0.0,3222.0,0,1,6,choice,After,Scene,2,1,0.0,3,3,1,1,-2.0
223,499,w6ea0c26,Scene,0.0,1264.0,1,1,7,choice,Before,Scene,2,-1,0.0,4,4,2,3,0.0
224,507,w924a500,Scene,,,0,1,1,choice,Before,Scene,1,1,1.0,6,6,1,1,1.0
225,508,w924a500,Green,0.0,4010.0,1,1,2,choice,After,Green,2,-2,-2.0,5,5,2,3,-2.0
226,509,w924a500,Scene,1.0,3547.0,0,1,3,choice,Before,Scene,1,-1,-2.0,4,4,1,3,-2.0
227,510,w924a500,Food,1.0,3658.0,1,1,4,choice,After,Food,1,2,2.0,6,6,1,1,2.0
228,511,w924a500,Animal,0.0,6181.0,1,1,5,choice,Before,Animal,2,-1,0.0,6,6,2,2,0.0
229,512,w924a500,Yellow,0.0,5205.0,0,1,6,choice,After,Yellow,2,1,-2.0,6,6,2,2,-2.0
230,513,w924a500,Yellow,1.0,1566.0,1,1,7,choice,Before,Yellow,3,1,1.0,4,4,2,2,-1.0
231,514,w924a500,Object,1.0,4996.0,0,1,8,choice,After,Object,2,-3,-3.0,6,6,2,2,-3.0
