model,feature,choice,rt,true_value,recalled_value,game_number
feature,Animal,0,2,-1,-2.342427778631177,6
feature,Food,1,2,1,0.0,6
feature,Scene,0,2,-1,-1.3966934430328248,6
feature,Scene,0,2,-2,-2.9483527403987773,7
feature,Object,0,2,-1,0.0,7
feature,Animal,1,2,2,0.0,7
feature,Red,1,2,1,0.2694249235251083,3
feature,Green,1,2,1,0.0,3
feature,Yellow,0,2,-1,-0.868432827070741,3
feature,Object,1,2,3,0.0,8
feature,Animal,0,2,-3,-2.8628834223492947,8
feature,Food,1,2,1,0.8115160245840487,8
feature,Animal,0,2,-1,-1.5346279357334212,1
feature,Object,0,2,-3,-1.3713178400336832,1
feature,Food,1,2,1,0.0,1
feature,Red,1,2,2,1.6588033409612228,3
feature,Green,0,2,-4,-3.083187867231999,3
feature,Yellow,1,2,2,0.0,3
feature,Animal,1,2,1,0.0,1
feature,Object,1,2,2,0.0,1
feature,Food,0,2,-2,0.0,1
feature,Red,1,2,2,0.0,7
feature,Green,0,2,-4,-3.9567436690826323,7
feature,Blue,1,2,2,0.0,7
feature,Object,1,2,3,1.6141802780771384,1
feature,Scene,0,2,-1,-1.4175402062467282,1
feature,Food,0,2,-1,0.0,1
feature,Food,0,2,-2,0.0,7
feature,Scene,1,2,5,1.171317335641209,7
feature,Object,0,2,-1,0.0,7
feature,Red,0,2,-1,-1.8261227248806011,5
feature,Green,0,2,-3,-2.5114744155079105,5
feature,Blue,1,2,1,0.0,5
feature,Yellow,0,2,-1,0.0,6
feature,Blue,0,2,-1,-1.564145765545741,6
feature,Red,1,2,1,0.6882093383530803,6
feature,Food,0,2,-2,-0.7218947349167237,2
feature,Scene,1,2,2,2.0238431874901326,2
feature,Object,0,2,-1,-0.19269119751644093,2
feature,Food,1,2,1,1.101448833669278,7
feature,Object,0,2,-3,-2.4698615250621936,7
feature,Scene,1,2,2,0.0,7
feature,Red,0,2,-1,0.0,4
feature,Yellow,1,2,5,2.2736583739193024,4
feature,Blue,0,2,-4,-2.35465106165333,4
feature,Scene,0,2,-2,0.0,5
feature,Animal,1,2,4,1.991139373826073,5
feature,Food,0,2,-2,0.0,5
feature,Animal,0,2,-2,-3.032486947446971,5
feature,Object,1,2,2,-0.1003124080464044,5
feature,Scene,1,2,1,-0.8598040620139317,5
feature,Blue,1,2,3,0.0,3
feature,Green,0,2,-1,-0.516374296685455,3
feature,Yellow,0,2,-1,-1.5621595974084808,3
feature,Food,0,2,-2,-2.61420425318,8
feature,Object,0,2,-1,-3.198340699215818,8
feature,Animal,1,2,2,2.1796977741871615,8
feature,Food,0,2,-1,0.0,7
feature,Object,0,2,-3,0.0,7
feature,Scene,1,2,3,0.0,7
feature,Object,0,2,-2,-0.7110859911817526,5
feature,Food,0,2,-1,-1.1072060573773141,5
feature,Animal,1,2,4,2.4936291132034527,5
feature,Animal,0,2,-3,-3.5539862943471987,5
feature,Scene,1,2,2,1.6570176230085805,5
feature,Object,1,2,1,0.0,5
feature,Scene,1,2,3,0.0,2
feature,Food,0,2,-1,-2.459570836931987,2
feature,Animal,0,2,-1,0.0,2
feature,Food,0,2,-1,0.0,8
feature,Object,1,2,1,1.0312757457191588,8
feature,Animal,0,2,-1,-2.3780791211561128,8
feature,Animal,0,2,-1,-1.0549777326651741,1
feature,Object,1,2,1,0.7652454630035386,1
feature,Food,0,2,-2,-1.9385969459611894,1
feature,Scene,1,2,1,0.0,1
feature,Food,0,2,-2,-1.5882891045322118,1
feature,Animal,0,2,-1,-1.0079640497042814,1
feature,Red,0,2,-2,0.0,3
feature,Green,1,2,1,1.3228912635432255,3
feature,Yellow,1,2,2,2.866887837617364,3
feature,Green,1,2,1,2.5950931102011894,1
feature,Red,0,2,-1,-1.830037019800489,1
feature,Blue,1,2,1,2.697394404280962,1
feature,Yellow,1,2,1,0.4021631945345805,7
feature,Blue,0,2,-2,0.0,7
feature,Green,1,2,1,0.0,7
feature,Blue,1,2,3,0.0,5
feature,Green,0,2,-4,0.0,5
feature,Yellow,1,2,1,0.93610572500286,5
feature,Animal,0,2,-4,0.0,5
feature,Scene,1,2,2,0.0,5
feature,Object,1,2,2,1.3988447868936071,5
feature,Object,0,2,-2,-1.6142360927594732,4
feature,Animal,0,2,-1,0.7261687412086184,4
feature,Scene,1,2,3,0.0,4
feature,Blue,0,2,-1,0.0,1
feature,Yellow,1,2,1,0.11530050473482079,1
feature,Green,0,2,-1,-1.3448277760686538,1
feature,Scene,0,2,-2,-0.6694961345360655,2
feature,Food,1,2,3,1.6527767776201157,2
feature,Animal,0,2,-2,-1.3498876039396257,2
feature,Red,1,2,1,0.0,2
feature,Yellow,0,2,-3,0.0,2
feature,Green,1,2,4,3.9781527156762038,2
feature,Yellow,1,2,1,0.5549750008607623,4
feature,Red,0,2,-1,-0.8278146999664207,4
feature,Blue,1,2,2,0.0,4
feature,Yellow,1,2,2,0.0,4
feature,Red,1,2,2,2.318546734757127,4
feature,Blue,0,2,-4,-1.3948139531397696,4
feature,Blue,1,2,2,0.0,8
feature,Red,1,2,2,2.2403827557806513,8
feature,Yellow,0,2,-2,-0.8461245528336818,8
feature,Object,0,2,-2,0.0,4
feature,Animal,0,2,-1,1.2249010098201805,4
feature,Scene,1,2,3,1.3181579416342262,4
feature,Animal,1,2,2,0.0,6
feature,Food,0,2,-6,-1.1646992154970577,6
feature,Scene,1,2,2,0.0,6
feature,Object,1,2,1,0.0,5
feature,Scene,1,2,3,3.456076389293191,5
feature,Animal,0,2,-4,-2.3747331096844464,5
feature,Animal,1,2,2,0.0,6
feature,Food,0,2,-1,0.6156044365251494,6
feature,Scene,0,2,-2,0.0,6
feature,Scene,1,2,1,0.0,2
feature,Food,0,2,-2,-2.259563184526904,2
feature,Object,1,2,2,2.881305125628452,2
feature,Animal,1,2,1,0.0,8
feature,Food,1,2,3,3.330440355212112,8
feature,Object,0,2,-2,0.0,8
feature,Animal,0,2,-2,0.0,4
