,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered
97,97,wd697686,Land,0.0,1951.0,1,2,5,choice,1,-1,-1.0,2,2,0,0
98,98,wd697686,Small,0.0,528.0,1,3,5,choice,3,-1,0.0,2,2,1,1
99,99,wd697686,Animal,1.0,899.0,0,4,5,choice,2,-1,1.0,2,2,2,2
100,100,wd697686,Small,1.0,775.0,0,1,6,choice,4,-4,-3.0,3,3,2,2
101,101,wd697686,Object,0.0,1787.0,1,2,6,choice,3,-2,-5.0,3,3,1,1
102,102,wd697686,Pattern,0.0,992.0,0,3,6,choice,2,2,-1.0,3,3,1,1
103,103,wd697686,Sea,0.0,675.0,1,4,6,choice,1,-1,-1.0,3,3,0,0
104,104,wd697686,Animal,1.0,1871.0,0,1,7,choice,1,-2,-2.0,1,1,0,2
105,105,wd697686,Sea,0.0,584.0,1,2,7,choice,4,-3,-3.0,1,1,1,2
106,106,wd697686,Large,1.0,823.0,1,3,7,choice,3,6,6.0,1,1,1,1
107,107,wd697686,Pattern,0.0,835.0,0,4,7,choice,2,1,0.0,1,1,0,1
108,108,w31bcaa3,Solid,,,0,1,1,choice,1,2,2.0,3,3,0,2
109,109,w31bcaa3,Animal,1.0,1495.0,1,2,1,choice,4,1,3.0,3,3,1,2
110,110,w31bcaa3,Large,1.0,1667.0,0,3,1,choice,2,-3,3.0,3,3,1,3
111,111,w31bcaa3,Land,1.0,3001.0,0,4,1,choice,3,-5,4.0,3,3,1,2
112,112,w31bcaa3,Animal,0.0,2540.0,0,1,2,choice,4,1,1.0,3,3,2,3
113,113,w31bcaa3,Sea,1.0,2564.0,1,2,2,choice,2,2,3.0,3,3,1,3
114,114,w31bcaa3,Small,0.0,3642.0,0,3,2,choice,3,2,3.0,3,3,1,3
115,115,w31bcaa3,Pattern,1.0,1740.0,0,4,2,choice,1,-1,-1.0,3,3,1,3
116,116,w31bcaa3,Pattern,0.0,2806.0,1,1,3,choice,3,-1,-1.0,4,4,3,4
117,117,w31bcaa3,Land,0.0,4245.0,1,2,3,choice,2,-4,-4.0,4,4,1,3
118,118,w31bcaa3,Large,1.0,2304.0,1,3,3,choice,1,2,2.0,4,4,1,3
119,119,w31bcaa3,Object,1.0,1490.0,0,4,3,choice,4,-1,-1.0,4,4,3,3
120,120,w31bcaa3,Small,0.0,2039.0,0,1,4,choice,2,3,3.0,5,5,2,3
121,121,w31bcaa3,Animal,1.0,2313.0,1,2,4,choice,4,3,3.0,5,5,3,3
122,122,w31bcaa3,Solid,1.0,2686.0,1,3,4,choice,3,2,2.0,5,5,3,4
123,123,w31bcaa3,Land,0.0,3679.0,1,4,4,choice,1,-1,-1.0,5,5,1,1
124,124,w31bcaa3,Sea,0.0,2290.0,1,1,5,choice,1,-2,-1.0,4,4,1,3
125,125,w31bcaa3,Large,0.0,2620.0,1,2,5,choice,2,-1,-3.0,4,4,1,2
126,126,w31bcaa3,Solid,1.0,2506.0,1,3,5,choice,3,4,2.0,4,4,1,3
127,127,w31bcaa3,Object,1.0,2874.0,0,4,5,choice,4,-3,-2.0,4,4,4,4
128,128,w31bcaa3,Land,1.0,2853.0,1,1,6,choice,3,1,4.0,4,4,2,4
129,129,w31bcaa3,Large,1.0,1954.0,0,2,6,choice,2,-1,2.0,4,4,2,2
130,130,w31bcaa3,Pattern,1.0,1052.0,1,3,6,choice,4,3,3.0,4,4,3,4
131,131,w31bcaa3,Object,0.0,1272.0,1,4,6,choice,1,-1,-2.0,4,4,1,2
132,132,w31bcaa3,Small,0.0,1120.0,1,1,7,choice,1,-1,-1.0,4,4,1,3
133,133,w31bcaa3,Pattern,1.0,1376.0,1,2,7,choice,4,1,1.0,4,4,3,4
134,134,w31bcaa3,Animal,1.0,1828.0,1,3,7,choice,2,1,1.0,4,4,2,3
135,135,w31bcaa3,Sea,0.0,1605.0,0,4,7,choice,3,2,2.0,4,4,2,4
136,136,wd3f2678,Large,1.0,4826.0,1,1,1,choice,1,1,-1.0,2,2,0,1
137,137,wd3f2678,Sea,1.0,5540.0,1,2,1,choice,3,1,3.0,2,2,1,1
138,138,wd3f2678,Solid,1.0,4920.0,1,3,1,choice,2,4,0.0,2,2,0,0
139,139,wd3f2678,Object,1.0,3442.0,0,4,1,choice,4,-1,2.0,2,2,2,3
140,140,wd3f2678,Sea,0.0,2978.0,1,1,2,choice,2,-1,-1.0,2,2,0,1
141,141,wd3f2678,Solid,0.0,1598.0,1,2,2,choice,4,-1,-1.0,2,2,1,1
142,142,wd3f2678,Large,1.0,1069.0,1,3,2,choice,1,1,1.0,2,2,0,1
143,143,wd3f2678,Animal,0.0,2120.0,0,4,2,choice,3,1,2.0,2,2,0,0
144,144,wd3f2678,Large,0.0,2890.0,1,1,3,choice,4,-3,0.0,1,1,0,1
145,145,wd3f2678,Land,1.0,1244.0,0,2,3,choice,1,-2,2.0,1,1,0,3
146,146,wd3f2678,Pattern,1.0,3750.0,1,3,3,choice,3,1,-2.0,1,1,1,3
147,147,wd3f2678,Animal,0.0,2288.0,1,4,3,choice,2,-3,-1.0,1,1,0,0
148,148,wd3f2678,Sea,1.0,3706.0,0,1,4,choice,2,-1,-3.0,1,1,0,2
149,149,wd3f2678,Animal,0.0,2757.0,0,2,4,choice,4,2,-3.0,1,1,0,1
150,150,wd3f2678,Pattern,0.0,1957.0,0,3,4,choice,3,1,-2.0,1,1,1,2
151,151,wd3f2678,Small,1.0,3165.0,0,4,4,choice,1,-2,-1.0,1,1,0,1
152,152,wd3f2678,Large,1.0,1689.0,0,1,5,choice,4,-1,-1.0,4,4,3,3
153,153,wd3f2678,Object,0.0,1602.0,1,2,5,choice,3,-2,-2.0,4,4,2,2
154,154,wd3f2678,Solid,1.0,1593.0,1,3,5,choice,1,1,1.0,4,4,0,0
155,155,wd3f2678,Land,0.0,1618.0,1,4,5,choice,2,-1,-4.0,4,4,1,1
156,156,wd3f2678,Pattern,0.0,2351.0,1,1,6,choice,2,-3,-4.0,4,4,1,1
157,157,wd3f2678,Land,1.0,1932.0,0,2,6,choice,4,-3,-4.0,4,4,2,2
158,158,wd3f2678,Object,1.0,3306.0,1,3,6,choice,3,3,-2.0,4,4,2,2
159,159,wd3f2678,Small,1.0,1632.0,1,4,6,choice,1,2,1.0,4,4,1,1
160,160,wd3f2678,Solid,0.0,2088.0,0,1,7,choice,2,1,-1.0,2,2,0,1
161,161,wd3f2678,Object,1.0,1641.0,0,2,7,choice,3,-4,0.0,2,2,1,1
162,162,wd3f2678,Land,1.0,3854.0,0,3,7,choice,1,-1,1.0,2,2,0,1
163,163,wd3f2678,Small,0.0,2677.0,0,4,7,choice,4,1,1.0,2,2,1,1
164,164,w970a2f0,Land,1.0,2053.0,0,1,1,choice,2,-1,0.0,6,6,0,0
165,165,w970a2f0,Animal,1.0,1306.0,1,2,1,choice,3,1,0.0,6,6,1,1
166,166,w970a2f0,Solid,1.0,3256.0,0,3,1,choice,4,-3,0.0,6,6,0,0
167,167,w970a2f0,Small,0.0,2690.0,1,4,1,choice,1,-2,0.0,6,6,0,0
168,168,w970a2f0,Animal,,,0,1,2,choice,2,-4,0.0,5,5,2,3
169,169,w970a2f0,Sea,1.0,4526.0,1,2,2,choice,1,2,0.0,5,5,1,1
170,170,w970a2f0,Large,1.0,2072.0,1,3,2,choice,3,1,0.0,5,5,3,4
171,171,w970a2f0,Pattern,1.0,2231.0,1,4,2,choice,4,3,0.0,5,5,3,3
172,172,w970a2f0,Animal,1.0,5591.0,0,1,3,choice,1,-2,0.0,1,1,0,1
173,173,w970a2f0,Solid,1.0,1285.0,1,2,3,choice,2,1,0.0,1,1,0,1
174,174,w970a2f0,Small,0.0,1235.0,1,3,3,choice,4,-4,0.0,1,1,0,1
175,175,w970a2f0,Sea,1.0,1168.0,1,4,3,choice,3,2,0.0,1,1,1,1
176,176,w970a2f0,Object,1.0,2814.0,0,1,4,choice,2,-1,0.0,3,3,1,2
177,177,w970a2f0,Land,1.0,3209.0,1,2,4,choice,1,1,0.0,3,3,0,1
178,178,w970a2f0,Solid,1.0,1209.0,0,3,4,choice,3,-3,0.0,3,3,1,2
179,179,w970a2f0,Large,0.0,3087.0,1,4,4,choice,4,-1,0.0,3,3,2,3
180,180,wbc9e827,Animal,1.0,5069.0,0,1,1,choice,4,-2,2.0,4,4,3,5
181,181,wbc9e827,Solid,,,0,2,1,choice,1,-2,2.0,4,4,1,3
182,182,wbc9e827,Land,1.0,2283.0,1,3,1,choice,3,3,3.0,4,4,3,4
183,183,wbc9e827,Large,0.0,2411.0,0,4,1,choice,2,1,1.0,4,4,2,4
184,184,wbc9e827,Animal,1.0,1938.0,1,1,2,choice,4,4,4.0,5,5,3,4
185,185,wbc9e827,Sea,0.0,1322.0,1,2,2,choice,2,-3,-3.0,5,5,2,2
186,186,wbc9e827,Small,1.0,967.0,1,3,2,choice,3,2,2.0,5,5,3,3
187,187,wbc9e827,Pattern,1.0,4913.0,1,4,2,choice,1,2,2.0,5,5,1,2
188,188,wbc9e827,Object,0.0,2534.0,1,1,3,choice,4,-1,-1.0,5,5,3,3
189,189,wbc9e827,Pattern,0.0,1536.0,1,2,3,choice,3,-1,1.0,5,5,3,3
190,190,wbc9e827,Large,0.0,885.0,1,3,3,choice,1,-1,-1.0,5,5,1,2
191,191,wbc9e827,Land,1.0,1099.0,1,4,3,choice,2,2,2.0,5,5,1,1
192,192,wbc9e827,Animal,1.0,1290.0,1,1,4,choice,4,2,1.0,6,6,4,4
193,193,wbc9e827,Solid,1.0,835.0,1,2,4,choice,3,6,5.0,6,6,3,3
194,194,wbc9e827,Land,0.0,2275.0,1,3,4,choice,1,-1,-1.0,6,6,1,1
195,195,wbc9e827,Small,0.0,1288.0,0,4,4,choice,2,1,0.0,6,6,2,2
196,196,wbc9e827,Sea,0.0,1642.0,0,1,5,choice,1,1,1.0,5,5,1,1
197,197,wbc9e827,Object,1.0,2038.0,0,2,5,choice,4,-1,-1.0,5,5,3,3
198,198,wbc9e827,Large,0.0,807.0,1,3,5,choice,2,-4,-3.0,5,5,2,2
199,199,wbc9e827,Solid,1.0,2165.0,1,4,5,choice,3,1,3.0,5,5,3,3
200,200,wbc9e827,Object,1.0,1628.0,1,1,6,choice,1,2,1.0,5,5,1,2
201,201,wbc9e827,Land,0.0,2000.0,1,2,6,choice,3,-2,-2.0,5,5,2,2
202,202,wbc9e827,Large,0.0,1755.0,1,3,6,choice,2,-1,-3.0,5,5,1,1
203,203,wbc9e827,Pattern,1.0,767.0,1,4,6,choice,4,4,2.0,5,5,4,4
204,204,wbc9e827,Small,0.0,1033.0,1,1,7,choice,1,-2,-2.0,5,5,1,1
205,205,wbc9e827,Sea,1.0,2146.0,1,2,7,choice,3,4,2.0,5,5,3,3
206,206,wbc9e827,Animal,0.0,1588.0,1,3,7,choice,2,-1,-1.0,5,5,2,3
207,207,wbc9e827,Pattern,0.0,1487.0,1,4,7,choice,4,-1,-1.0,5,5,4,5
208,208,we368c94,Small,1.0,2563.0,1,1,1,choice,1,2,1.0,5,5,1,2
209,209,we368c94,Land,0.0,3806.0,1,2,1,choice,2,-4,-4.0,5,5,2,3
210,210,we368c94,Animal,0.0,1954.0,1,3,1,choice,3,-2,-1.0,5,5,3,4
211,211,we368c94,Solid,1.0,2382.0,0,4,1,choice,4,-1,-1.0,5,5,4,5
212,212,we368c94,Small,1.0,3074.0,1,1,2,choice,3,2,2.0,6,6,3,3
213,213,we368c94,Object,1.0,3323.0,0,2,2,choice,4,-4,3.0,6,6,4,4
214,214,we368c94,Land,0.0,3624.0,1,3,2,choice,2,-3,0.0,6,6,2,2
215,215,we368c94,Pattern,1.0,4259.0,0,4,2,choice,1,-1,-1.0,6,6,1,1
216,216,we368c94,Object,0.0,951.0,0,1,3,choice,4,1,4.0,5,5,3,3
217,217,we368c94,Large,1.0,4967.0,0,2,3,choice,2,-2,1.0,5,5,1,2
218,218,we368c94,Land,0.0,2143.0,0,3,3,choice,1,1,1.0,5,5,1,1
219,219,we368c94,Solid,1.0,2654.0,1,4,3,choice,3,2,5.0,5,5,2,3
220,220,we368c94,Pattern,0.0,1601.0,1,1,4,choice,4,-1,-1.0,6,6,4,4
221,221,we368c94,Animal,1.0,851.0,1,2,4,choice,1,1,1.0,6,6,1,1
222,222,we368c94,Sea,1.0,2582.0,1,3,4,choice,3,5,4.0,6,6,3,3
223,223,we368c94,Large,0.0,3070.0,1,4,4,choice,2,-1,-1.0,6,6,2,2
224,224,we368c94,Sea,1.0,1792.0,1,1,5,choice,2,1,1.0,6,6,2,2
225,225,we368c94,Object,0.0,855.0,1,2,5,choice,3,-2,-2.0,6,6,3,3
226,226,we368c94,Pattern,1.0,1925.0,1,3,5,choice,4,2,2.0,6,6,4,4
227,227,we368c94,Large,0.0,3328.0,1,4,5,choice,1,-2,-2.0,6,6,1,1
228,228,we368c94,Object,0.0,2034.0,0,1,6,choice,1,1,1.0,6,6,1,1
229,229,we368c94,Pattern,0.0,2220.0,0,2,6,choice,4,1,3.0,6,6,4,4
230,230,we368c94,Small,1.0,2224.0,0,3,6,choice,2,-2,0.0,6,6,2,2
231,231,we368c94,Land,0.0,1792.0,1,4,6,choice,3,-1,3.0,6,6,3,3
232,232,we368c94,Animal,0.0,2081.0,0,1,7,choice,3,2,1.0,6,6,3,3
233,233,we368c94,Solid,1.0,3846.0,1,2,7,choice,2,1,0.0,6,6,2,2
234,234,we368c94,Small,0.0,1750.0,1,3,7,choice,4,-3,-1.0,6,6,4,4
235,235,we368c94,Sea,1.0,2180.0,0,4,7,choice,1,-2,-2.0,6,6,1,1
236,236,wb900a5f,Animal,1.0,3001.0,0,1,1,choice,3,-5,-2.0,5,5,2,3
237,237,wb900a5f,Land,0.0,1676.0,0,2,1,choice,2,1,-3.0,5,5,2,3
238,238,wb900a5f,Small,1.0,2089.0,1,3,1,choice,1,2,1.0,5,5,1,2
239,239,wb900a5f,Solid,1.0,2247.0,1,4,1,choice,4,1,-1.0,5,5,4,4
240,240,wb900a5f,Land,1.0,3210.0,1,1,2,choice,2,2,1.0,3,3,1,2
241,241,wb900a5f,Pattern,0.0,2186.0,0,2,2,choice,1,1,1.0,3,3,0,2
242,242,wb900a5f,Small,0.0,2399.0,1,3,2,choice,3,-2,4.0,3,3,1,1
243,243,wb900a5f,Object,1.0,3207.0,1,4,2,choice,4,1,0.0,3,3,2,3
244,244,wb900a5f,Object,1.0,1515.0,1,1,3,choice,4,3,2.0,3,3,2,3
245,245,wb900a5f,Large,0.0,2055.0,0,2,3,choice,2,1,4.0,3,3,1,4
246,246,wb900a5f,Solid,1.0,1161.0,1,3,3,choice,3,2,2.0,3,3,1,3
247,247,wb900a5f,Land,1.0,1159.0,0,4,3,choice,1,-1,1.0,3,3,0,1
248,248,wb900a5f,Sea,1.0,1337.0,0,1,4,choice,3,-1,1.0,2,2,1,3
249,249,wb900a5f,Large,0.0,450.0,0,2,4,choice,2,4,-1.0,2,2,1,4
250,250,wb900a5f,Pattern,1.0,635.0,1,3,4,choice,4,4,1.0,2,2,1,3
251,251,wb900a5f,Animal,1.0,2267.0,1,4,4,choice,1,2,1.0,2,2,0,2
252,252,wb900a5f,Pattern,1.0,1723.0,1,1,5,choice,4,2,1.0,5,5,3,4
253,253,wb900a5f,Object,0.0,727.0,0,2,5,choice,3,3,1.0,5,5,2,3
254,254,wb900a5f,Sea,0.0,975.0,1,3,5,choice,2,-2,1.0,5,5,2,3
255,255,wb900a5f,Large,1.0,501.0,1,4,5,choice,1,2,-1.0,5,5,1,2
256,256,wb900a5f,Object,1.0,1236.0,1,1,6,choice,1,1,1.0,1,1,0,4
257,257,wb900a5f,Land,0.0,609.0,1,2,6,choice,3,-1,-4.0,1,1,0,3
258,258,wb900a5f,Pattern,1.0,586.0,1,3,6,choice,4,2,-3.0,1,1,1,4
259,259,wb900a5f,Small,1.0,371.0,1,4,6,choice,2,1,0.0,1,1,1,4
260,260,wb900a5f,Sea,1.0,3335.0,0,1,7,choice,1,-2,-2.0,3,3,0,1
261,261,wb900a5f,Animal,0.0,740.0,0,2,7,choice,3,2,-2.0,3,3,1,1
262,262,wb900a5f,Small,1.0,474.0,0,3,7,choice,4,-4,-4.0,3,3,1,2
263,263,wb900a5f,Solid,0.0,432.0,1,4,7,choice,2,-4,-1.0,3,3,1,1
264,264,w52f1872,Land,0.0,6213.0,0,1,1,choice,2,1,0.0,4,4,1,1
265,265,w52f1872,Small,0.0,6150.0,0,2,1,choice,1,2,-1.0,4,4,1,1
266,266,w52f1872,Animal,1.0,3430.0,0,3,1,choice,3,-1,1.0,4,4,2,2
267,267,w52f1872,Solid,1.0,3163.0,1,4,1,choice,4,5,1.0,4,4,3,3
268,268,w52f1872,Pattern,0.0,1990.0,1,1,2,choice,1,-1,-1.0,6,6,1,1
269,269,w52f1872,Land,0.0,1939.0,1,2,2,choice,2,-2,0.0,6,6,2,2
270,270,w52f1872,Object,1.0,4775.0,0,3,2,choice,4,-1,0.0,6,6,4,4
271,271,w52f1872,Small,1.0,2007.0,1,4,2,choice,3,2,2.0,6,6,3,3
272,272,w52f1872,Land,0.0,6409.0,0,1,3,choice,1,2,1.0,4,4,1,1
273,273,w52f1872,Solid,0.0,2376.0,1,2,3,choice,3,-2,-3.0,4,4,3,3
274,274,w52f1872,Object,1.0,4385.0,0,3,3,choice,4,-3,-3.0,4,4,3,3
275,275,w52f1872,Large,0.0,1129.0,1,4,3,choice,2,-3,-3.0,4,4,1,1
276,276,w52f1872,Pattern,1.0,3137.0,1,1,4,choice,4,4,1.0,5,5,4,4
277,277,w52f1872,Sea,0.0,1988.0,1,2,4,choice,3,-1,-4.0,5,5,2,2
278,278,w52f1872,Large,1.0,5153.0,1,3,4,choice,2,1,1.0,5,5,2,2
279,279,w52f1872,Animal,0.0,1791.0,1,4,4,choice,1,-1,-1.0,5,5,1,1
280,280,w52f1872,Pattern,1.0,2648.0,1,1,5,choice,4,1,3.0,4,4,3,3
