,wid,multi_time,expected_dim,correct_last,correct_full,correct_baseline_corrected
75,w60e6ea8,Before,True,1.0,0.75,0.25
76,w610dd08,Before,False,0.8,0.5,0.30000000000000004
77,w610dd08,Before,True,1.0,0.5,0.5
78,w63ea659,After,False,0.8333333333333334,0.5,0.33333333333333337
79,w68730bb,After,False,0.3333333333333333,0.0,0.3333333333333333
80,w6bec3e7,After,False,0.6666666666666666,0.25,0.41666666666666663
81,w6dd030e,After,False,0.8333333333333334,0.75,0.08333333333333337
82,w6ea0c26,Before,False,0.2,0.75,-0.55
83,w6ea0c26,Before,True,0.0,0.75,-0.75
84,w7232115,Before,False,0.6,0.75,-0.15000000000000002
85,w7232115,Before,True,1.0,0.75,0.25
86,w737e6e4,After,False,0.5,1.0,-0.5
87,w768a02c,Before,False,0.4,1.0,-0.6
88,w768a02c,Before,True,1.0,1.0,0.0
89,w7f90916,Before,False,0.6,0.5,0.09999999999999998
90,w7f90916,Before,True,1.0,0.5,0.5
91,w8d745f1,After,False,1.0,0.75,0.25
92,w9051394,After,False,0.6666666666666666,0.25,0.41666666666666663
93,w90f4896,After,False,0.6666666666666666,0.25,0.41666666666666663
94,w924a500,Before,False,0.4,0.5,-0.09999999999999998
95,w924a500,Before,True,1.0,0.5,0.5
96,w962c662,Before,False,0.0,0.75,-0.75
97,w962c662,Before,True,0.0,0.75,-0.75
98,wa6daa50,After,False,0.8333333333333334,0.5,0.33333333333333337
99,wa79cf20,After,False,0.6666666666666666,0.75,-0.08333333333333337
100,wab226bf,After,False,0.6666666666666666,0.25,0.41666666666666663
101,wace8728,Before,False,0.6,0.75,-0.15000000000000002
102,wace8728,Before,True,1.0,0.75,0.25
103,wad32437,Before,False,1.0,0.5,0.5
104,wad32437,Before,True,1.0,0.5,0.5
105,wb0b75c3,Before,False,0.4,0.75,-0.35
106,wb0b75c3,Before,True,1.0,0.75,0.25
107,wb56c2d3,After,False,0.5,0.5,0.0
108,wb772565,Before,False,0.4,1.0,-0.6
109,wb772565,Before,True,1.0,1.0,0.0
110,wbc79189,After,False,0.8333333333333334,0.75,0.08333333333333337
111,wbe569b5,Before,False,0.8,1.0,-0.19999999999999996
112,wbe569b5,Before,True,1.0,1.0,0.0
113,wbe9243a,After,False,0.8333333333333334,0.5,0.33333333333333337
114,wc097323,After,False,1.0,0.75,0.25
115,wc0a4260,After,False,0.5,0.3333333333333333,0.16666666666666669
116,wc294ae3,After,False,0.3333333333333333,0.75,-0.4166666666666667
117,wc43fbaa,Before,False,0.2,0.5,-0.3
118,wc43fbaa,Before,True,0.0,0.5,-0.5
