,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,dim_shown,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value
74,131,waf52734,Animal,1.0,3448.0,0,1,3,choice,Before,Category,Category,2,-4,-1.0,5,5,2,2,-1.0
75,132,waf52734,Scene,1.0,2460.0,1,2,3,choice,Before,Category,Category,1,2,2.0,5,5,1,2,2.0
76,133,waf52734,Food,1.0,4191.0,1,3,3,choice,Before,Category,Category,3,2,4.0,5,5,2,2,2.0
77,134,waf52734,Red,1.0,3655.0,0,1,4,choice,After,Color,Color,1,-1,-1.0,6,6,1,1,-1.0
78,135,waf52734,Yellow,0.0,3572.0,1,2,4,choice,After,Color,Color,3,-1,-1.0,6,6,3,3,-1.0
79,136,waf52734,Blue,0.0,3832.0,0,3,4,choice,After,Color,Color,2,3,0.0,6,6,2,2,0.0
80,137,waf52734,Green,0.0,3581.0,1,1,5,choice,Before,Color,Color,3,-1,-1.0,5,5,2,2,-2.0
81,138,waf52734,Yellow,0.0,4211.0,1,2,5,choice,Before,Color,Color,2,-1,2.0,5,5,2,3,2.0
82,139,waf52734,Blue,1.0,1515.0,1,3,5,choice,Before,Color,Color,1,1,1.0,5,5,1,1,1.0
83,140,waf52734,Object,1.0,3916.0,1,1,6,choice,After,Category,Category,1,2,1.0,6,6,1,1,1.0
84,141,waf52734,Scene,1.0,1388.0,1,2,6,choice,After,Category,Category,2,4,2.0,6,6,2,2,2.0
85,142,waf52734,Food,0.0,1376.0,1,3,6,choice,After,Category,Category,3,-4,-4.0,6,6,3,3,-4.0
86,143,waf52734,Object,1.0,5217.0,1,1,7,choice,Before,Category,Category,2,4,3.0,6,6,2,2,3.0
87,144,waf52734,Animal,0.0,3985.0,1,2,7,choice,Before,Category,Category,1,-2,-1.0,6,6,1,1,-1.0
88,145,waf52734,Scene,0.0,2391.0,1,3,7,choice,Before,Category,Category,3,-2,-6.0,6,6,3,3,-6.0
89,152,w311c43d,Food,1.0,1579.0,0,1,1,choice,After,Category,Category,1,-1,-1.0,2,2,1,2,-1.0
90,154,w311c43d,Object,0.0,1931.0,1,3,1,choice,After,Category,Category,3,-3,-3.0,2,2,1,2,-2.0
91,155,w311c43d,Blue,0.0,2680.0,1,1,2,choice,Before,Color,Color,2,-1,-1.0,5,5,1,2,-2.0
92,156,w311c43d,Green,0.0,2251.0,1,2,2,choice,Before,Color,Color,1,-2,-2.0,5,5,1,1,-2.0
93,157,w311c43d,Red,1.0,2624.0,1,3,2,choice,Before,Color,Color,3,1,1.0,5,5,3,3,1.0
94,158,w311c43d,Food,0.0,2227.0,1,1,3,choice,After,Category,Category,3,-1,-1.0,4,4,2,2,0.0
95,159,w311c43d,Scene,1.0,1875.0,1,2,3,choice,After,Category,Category,1,1,1.0,4,4,1,1,1.0
96,160,w311c43d,Animal,0.0,2699.0,1,3,3,choice,After,Category,Category,2,-1,-1.0,4,4,1,1,1.0
97,162,w311c43d,Animal,1.0,2150.0,0,2,4,choice,Before,Category,Category,3,-1,1.0,4,4,2,2,0.0
98,163,w311c43d,Scene,1.0,1522.0,1,3,4,choice,Before,Category,Category,2,1,3.0,4,4,2,2,3.0
99,165,w311c43d,Green,1.0,2596.0,1,2,5,choice,After,Color,Color,3,1,4.0,2,2,1,1,1.0
100,166,w311c43d,Yellow,0.0,738.0,1,3,5,choice,After,Color,Color,2,-3,-3.0,2,2,1,1,-1.0
