,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,n_considered,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,considered_value,considered_mem_value,considered_recalled_mem_value
85,145,w27e5a42,Blue,0.0,2207.0,1,2,2,choice,3,2,-2,-2.0,5,5,3,3,-2.0,-11,-9.0,-9.0
86,146,w27e5a42,Food,1.0,3306.0,1,3,2,choice,3,3,4,7.0,5,5,2,2,12.0,1,7.0,12.0
87,147,w27e5a42,Object,0.0,2373.0,1,4,2,choice,1,1,-3,-3.0,5,5,1,1,-3.0,-6,-3.0,-3.0
88,148,w27e5a42,Scene,0.0,4088.0,1,5,2,choice,2,2,-5,-5.0,5,5,2,2,-5.0,-10,-5.0,-5.0
89,149,w27e5a42,Green,1.0,4695.0,0,6,2,choice,2,2,-7,-4.0,5,5,1,1,1.0,-14,-4.0,1.0
90,150,w27e5a42,Animal,1.0,3745.0,0,1,3,choice,3,3,-2,-2.0,5,5,3,3,-2.0,-4,-2.0,-2.0
91,151,w27e5a42,Red,1.0,2924.0,0,2,3,choice,2,2,-4,8.0,5,5,2,2,8.0,-10,8.0,8.0
92,153,w27e5a42,Yellow,1.0,1519.0,1,4,3,choice,3,1,2,-15.0,5,5,2,2,-11.0,5,-7.0,-7.0
93,154,w27e5a42,Scene,1.0,1960.0,0,5,3,choice,2,1,-7,1.0,5,5,2,2,1.0,-7,-4.0,-4.0
94,155,w27e5a42,Blue,0.0,4363.0,1,6,3,choice,1,1,-3,2.0,5,5,1,1,2.0,-6,2.0,2.0
95,156,w27e5a42,Scene,0.0,3378.0,0,1,4,choice,2,1,3,-4.0,4,4,1,1,-2.0,-4,-2.0,-2.0
96,157,w27e5a42,Animal,0.0,6360.0,1,2,4,choice,1,1,-9,2.0,4,4,1,1,2.0,-18,2.0,2.0
97,159,w27e5a42,Green,1.0,2374.0,1,4,4,choice,3,2,3,7.0,4,4,2,2,9.0,-4,9.0,9.0
98,160,w27e5a42,Object,1.0,2763.0,1,5,4,choice,3,3,5,9.0,4,4,2,2,14.0,10,9.0,14.0
99,161,w27e5a42,Yellow,1.0,770.0,1,6,4,choice,2,2,4,5.0,4,4,2,2,5.0,8,5.0,5.0
