,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,n_considered,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered
129,159,w27e5a42,Green,1.0,2374.0,1,4,4,choice,3,2,3,7.0,4,4,2,2
130,160,w27e5a42,Object,1.0,2763.0,1,5,4,choice,3,3,5,9.0,4,4,2,2
131,161,w27e5a42,Yellow,1.0,770.0,1,6,4,choice,2,2,4,5.0,4,4,2,2
132,162,w27e5a42,Green,1.0,4575.0,1,1,5,choice,1,1,7,5.0,2,2,1,1
133,163,w27e5a42,Animal,0.0,3452.0,1,2,5,choice,2,1,-3,-3.0,2,2,0,0
134,164,w27e5a42,Food,1.0,3705.0,0,3,5,choice,1,0,-3,-4.0,2,2,0,0
135,165,w27e5a42,Blue,0.0,1473.0,1,4,5,choice,2,1,-8,0.0,2,2,0,0
136,166,w27e5a42,Object,1.0,1342.0,1,5,5,choice,3,2,4,12.0,2,2,2,2
137,167,w27e5a42,Yellow,0.0,738.0,1,6,5,choice,3,1,-1,0.0,2,2,1,1
138,168,w60e592a,Scene,1.0,3027.0,0,1,1,choice,2,4,-4,0.0,2,2,0,0
139,169,w60e592a,Blue,1.0,1151.0,1,2,1,choice,2,4,3,5.0,2,2,1,3
140,170,w60e592a,Yellow,1.0,1029.0,1,3,1,choice,3,4,1,9.0,2,2,0,0
141,171,w60e592a,Food,0.0,4478.0,1,4,1,choice,3,4,-2,3.0,2,2,2,2
142,172,w60e592a,Object,1.0,2202.0,1,5,1,choice,1,4,7,9.0,2,2,0,2
143,173,w60e592a,Red,0.0,2055.0,1,6,1,choice,1,4,-3,-2.0,2,2,1,3
144,174,w60e592a,Yellow,1.0,2405.0,0,1,2,choice,3,4,-2,1.0,5,5,2,2
145,175,w60e592a,Animal,1.0,3714.0,1,2,2,choice,2,4,3,2.0,5,5,1,1
146,176,w60e592a,Object,0.0,2649.0,0,3,2,choice,3,4,4,-1.0,5,5,3,3
147,177,w60e592a,Food,0.0,1665.0,1,4,2,choice,1,4,-3,-3.0,5,5,1,2
148,178,w60e592a,Green,0.0,3997.0,0,5,2,choice,2,4,1,0.0,5,5,2,2
149,179,w60e592a,Blue,1.0,3137.0,1,6,2,choice,1,4,5,-3.0,5,5,1,2
150,180,w60e592a,Red,1.0,1231.0,0,1,3,choice,3,4,-2,3.0,3,3,0,0
151,181,w60e592a,Yellow,0.0,3649.0,1,2,3,choice,2,4,-2,-3.0,3,3,2,3
152,182,w60e592a,Animal,1.0,979.0,1,3,3,choice,2,4,3,1.0,3,3,1,2
153,183,w60e592a,Object,1.0,2604.0,0,4,3,choice,1,4,-3,3.0,3,3,0,0
154,184,w60e592a,Scene,0.0,955.0,0,5,3,choice,3,4,2,-11.0,3,3,2,3
155,185,w60e592a,Green,0.0,2456.0,0,6,3,choice,1,4,6,-7.0,3,3,1,2
