model,feature,choice,rt,n_memories,true_value,recalled_value,game_number
episodic,Animal,0,2.5,2,-1,-2.342427778631177,6
episodic,Food,0,2.0,1,1,0.0,6
episodic,Scene,0,2.5,2,-1,-1.3966934430328248,6
episodic,Scene,0,2.0,1,-2,-2.9483527403987773,7
episodic,Object,0,1.5,0,-1,0.0,7
episodic,Animal,0,3.5,4,2,0.0,7
episodic,Red,1,4.0,5,1,0.2694249235251083,3
episodic,Green,0,2.0,1,1,0.0,3
episodic,Yellow,0,3.0,3,-1,-0.868432827070741,3
episodic,Object,0,1.5,0,3,0.0,8
episodic,Animal,0,4.5,6,-3,-2.8628834223492947,8
episodic,Food,1,4.0,5,1,0.8115160245840487,8
episodic,Animal,0,3.5,4,-1,-1.5346279357334212,1
episodic,Object,0,4.0,5,-3,-1.3713178400336832,1
episodic,Food,0,2.0,1,1,0.0,1
episodic,Red,1,2.0,1,2,1.6588033409612228,3
episodic,Green,0,3.5,4,-4,-3.083187867231999,3
episodic,Yellow,0,2.0,1,2,0.0,3
episodic,Animal,0,2.5,2,1,0.0,1
episodic,Object,0,3.0,3,2,0.0,1
episodic,Food,0,2.0,1,-2,0.0,1
episodic,Red,0,2.5,2,2,0.0,7
episodic,Green,0,2.5,2,-4,-3.9567436690826323,7
episodic,Blue,0,2.5,2,2,0.0,7
episodic,Object,1,3.0,3,3,1.6141802780771384,1
episodic,Scene,0,3.5,4,-1,-1.4175402062467282,1
episodic,Food,0,1.5,0,-1,0.0,1
episodic,Food,0,3.0,3,-2,0.0,7
episodic,Scene,1,3.5,4,5,1.171317335641209,7
episodic,Object,0,3.0,3,-1,0.0,7
episodic,Red,0,3.5,4,-1,-1.8261227248806011,5
episodic,Green,0,2.5,2,-3,-2.5114744155079105,5
episodic,Blue,0,2.5,2,1,0.0,5
episodic,Yellow,0,2.0,1,-1,0.0,6
episodic,Blue,0,4.0,5,-1,-1.564145765545741,6
episodic,Red,1,4.0,5,1,0.6882093383530803,6
episodic,Food,0,3.0,3,-2,-0.7218947349167237,2
episodic,Scene,1,3.0,3,2,2.0238431874901326,2
episodic,Object,0,3.5,4,-1,-0.19269119751644093,2
episodic,Food,1,2.5,2,1,1.101448833669278,7
episodic,Object,0,4.0,5,-3,-2.4698615250621936,7
episodic,Scene,0,2.0,1,2,0.0,7
episodic,Red,0,2.5,2,-1,0.0,4
episodic,Yellow,1,3.5,4,5,2.2736583739193024,4
episodic,Blue,0,3.5,4,-4,-2.35465106165333,4
episodic,Scene,0,3.0,3,-2,0.0,5
episodic,Animal,1,2.5,2,4,1.991139373826073,5
episodic,Food,0,2.0,1,-2,0.0,5
episodic,Animal,0,4.5,6,-2,-3.032486947446971,5
episodic,Object,0,3.0,3,2,-0.1003124080464044,5
episodic,Scene,0,2.5,2,1,-0.8598040620139317,5
episodic,Blue,0,2.0,1,3,0.0,3
episodic,Green,0,2.0,1,-1,-0.516374296685455,3
episodic,Yellow,0,3.0,3,-1,-1.5621595974084808,3
episodic,Food,0,3.0,3,-2,-2.61420425318,8
episodic,Object,0,4.0,5,-1,-3.198340699215818,8
episodic,Animal,1,3.0,3,2,2.1796977741871615,8
episodic,Food,0,3.0,3,-1,0.0,7
episodic,Object,0,1.5,0,-3,0.0,7
episodic,Scene,0,3.0,3,3,0.0,7
episodic,Object,0,4.0,5,-2,-0.7110859911817526,5
episodic,Food,0,3.5,4,-1,-1.1072060573773141,5
episodic,Animal,1,3.0,3,4,2.4936291132034527,5
episodic,Animal,0,4.5,6,-3,-3.5539862943471987,5
episodic,Scene,1,4.0,5,2,1.6570176230085805,5
episodic,Object,0,3.0,3,1,0.0,5
episodic,Scene,0,1.5,0,3,0.0,2
episodic,Food,0,3.5,4,-1,-2.459570836931987,2
episodic,Animal,0,3.5,4,-1,0.0,2
episodic,Food,0,1.5,0,-1,0.0,8
episodic,Object,1,2.5,2,1,1.0312757457191588,8
episodic,Animal,0,3.0,3,-1,-2.3780791211561128,8
episodic,Animal,0,3.5,4,-1,-1.0549777326651741,1
episodic,Object,1,2.0,1,1,0.7652454630035386,1
episodic,Food,0,2.5,2,-2,-1.9385969459611894,1
episodic,Scene,0,2.5,2,1,0.0,1
episodic,Food,0,3.0,3,-2,-1.5882891045322118,1
episodic,Animal,0,3.5,4,-1,-1.0079640497042814,1
episodic,Red,0,2.5,2,-2,0.0,3
episodic,Green,1,3.0,3,1,1.3228912635432255,3
episodic,Yellow,1,3.5,4,2,2.866887837617364,3
episodic,Green,1,2.5,2,1,2.5950931102011894,1
episodic,Red,0,3.0,3,-1,-1.830037019800489,1
episodic,Blue,1,2.5,2,1,2.697394404280962,1
episodic,Yellow,1,4.0,5,1,0.4021631945345805,7
episodic,Blue,0,1.5,0,-2,0.0,7
episodic,Green,0,3.0,3,1,0.0,7
episodic,Blue,0,2.5,2,3,0.0,5
episodic,Green,0,2.0,1,-4,0.0,5
episodic,Yellow,1,3.5,4,1,0.93610572500286,5
episodic,Animal,0,2.0,1,-4,0.0,5
episodic,Scene,0,2.0,1,2,0.0,5
episodic,Object,1,3.5,4,2,1.3988447868936071,5
episodic,Object,0,3.0,3,-2,-1.6142360927594732,4
episodic,Animal,1,4.0,5,-1,0.7261687412086184,4
episodic,Scene,0,1.5,0,3,0.0,4
episodic,Blue,0,2.0,1,-1,0.0,1
episodic,Yellow,1,4.5,6,1,0.11530050473482079,1
episodic,Green,0,4.5,6,-1,-1.3448277760686538,1
episodic,Scene,0,2.5,2,-2,-0.6694961345360655,2
episodic,Food,1,2.5,2,3,1.6527767776201157,2
episodic,Animal,0,3.0,3,-2,-1.3498876039396257,2
episodic,Red,0,2.5,2,1,0.0,2
episodic,Yellow,0,1.5,0,-3,0.0,2
episodic,Green,1,4.5,6,4,3.9781527156762038,2
episodic,Yellow,1,4.5,6,1,0.5549750008607623,4
episodic,Red,0,3.5,4,-1,-0.8278146999664207,4
episodic,Blue,0,1.5,0,2,0.0,4
episodic,Yellow,0,3.0,3,2,0.0,4
episodic,Red,1,3.0,3,2,2.318546734757127,4
episodic,Blue,0,2.5,2,-4,-1.3948139531397696,4
episodic,Blue,0,2.0,1,2,0.0,8
episodic,Red,1,2.5,2,2,2.2403827557806513,8
episodic,Yellow,0,3.0,3,-2,-0.8461245528336818,8
episodic,Object,0,2.5,2,-2,0.0,4
episodic,Animal,1,3.0,3,-1,1.2249010098201805,4
episodic,Scene,1,3.0,3,3,1.3181579416342262,4
episodic,Animal,0,2.5,2,2,0.0,6
episodic,Food,0,2.5,2,-6,-1.1646992154970577,6
episodic,Scene,0,2.0,1,2,0.0,6
episodic,Object,0,2.0,1,1,0.0,5
episodic,Scene,1,4.5,6,3,3.456076389293191,5
episodic,Animal,0,3.0,3,-4,-2.3747331096844464,5
episodic,Animal,0,2.5,2,2,0.0,6
episodic,Food,1,2.0,1,-1,0.6156044365251494,6
episodic,Scene,0,2.5,2,-2,0.0,6
episodic,Scene,0,2.5,2,1,0.0,2
episodic,Food,0,4.0,5,-2,-2.259563184526904,2
episodic,Object,1,4.5,6,2,2.881305125628452,2
episodic,Animal,0,2.0,1,1,0.0,8
