,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value
131,165,w970a2f0,Animal,1.0,1306.0,1,2,1,choice,3,1,0.0,6,6,1,1,0.0
132,168,w970a2f0,Animal,,,0,1,2,choice,2,-4,0.0,5,5,2,3,0.0
133,169,w970a2f0,Sea,1.0,4526.0,1,2,2,choice,1,2,0.0,5,5,1,1,0.0
134,170,w970a2f0,Large,1.0,2072.0,1,3,2,choice,3,1,0.0,5,5,3,4,0.0
135,171,w970a2f0,Pattern,1.0,2231.0,1,4,2,choice,4,3,0.0,5,5,3,3,0.0
136,175,w970a2f0,Sea,1.0,1168.0,1,4,3,choice,3,2,0.0,1,1,1,1,0.0
137,176,w970a2f0,Object,1.0,2814.0,0,1,4,choice,2,-1,0.0,3,3,1,2,0.0
138,178,w970a2f0,Solid,1.0,1209.0,0,3,4,choice,3,-3,0.0,3,3,1,2,0.0
139,179,w970a2f0,Large,0.0,3087.0,1,4,4,choice,4,-1,0.0,3,3,2,3,0.0
140,180,wbc9e827,Animal,1.0,5069.0,0,1,1,choice,4,-2,2.0,4,4,3,5,3.0
141,181,wbc9e827,Solid,,,0,2,1,choice,1,-2,2.0,4,4,1,3,2.0
142,182,wbc9e827,Land,1.0,2283.0,1,3,1,choice,3,3,3.0,4,4,3,4,3.0
143,183,wbc9e827,Large,0.0,2411.0,0,4,1,choice,2,1,1.0,4,4,2,4,1.0
144,184,wbc9e827,Animal,1.0,1938.0,1,1,2,choice,4,4,4.0,5,5,3,4,3.0
145,185,wbc9e827,Sea,0.0,1322.0,1,2,2,choice,2,-3,-3.0,5,5,2,2,-3.0
146,186,wbc9e827,Small,1.0,967.0,1,3,2,choice,3,2,2.0,5,5,3,3,2.0
147,187,wbc9e827,Pattern,1.0,4913.0,1,4,2,choice,1,2,2.0,5,5,1,2,2.0
148,188,wbc9e827,Object,0.0,2534.0,1,1,3,choice,4,-1,-1.0,5,5,3,3,-2.0
149,189,wbc9e827,Pattern,0.0,1536.0,1,2,3,choice,3,-1,1.0,5,5,3,3,1.0
150,190,wbc9e827,Large,0.0,885.0,1,3,3,choice,1,-1,-1.0,5,5,1,2,-1.0
151,191,wbc9e827,Land,1.0,1099.0,1,4,3,choice,2,2,2.0,5,5,1,1,1.0
152,192,wbc9e827,Animal,1.0,1290.0,1,1,4,choice,4,2,1.0,6,6,4,4,1.0
153,193,wbc9e827,Solid,1.0,835.0,1,2,4,choice,3,6,5.0,6,6,3,3,5.0
154,194,wbc9e827,Land,0.0,2275.0,1,3,4,choice,1,-1,-1.0,6,6,1,1,-1.0
155,195,wbc9e827,Small,0.0,1288.0,0,4,4,choice,2,1,0.0,6,6,2,2,0.0
156,196,wbc9e827,Sea,0.0,1642.0,0,1,5,choice,1,1,1.0,5,5,1,1,1.0
157,197,wbc9e827,Object,1.0,2038.0,0,2,5,choice,4,-1,-1.0,5,5,3,3,1.0
158,198,wbc9e827,Large,0.0,807.0,1,3,5,choice,2,-4,-3.0,5,5,2,2,-3.0
159,199,wbc9e827,Solid,1.0,2165.0,1,4,5,choice,3,1,3.0,5,5,3,3,3.0
160,200,wbc9e827,Object,1.0,1628.0,1,1,6,choice,1,2,1.0,5,5,1,2,1.0
161,201,wbc9e827,Land,0.0,2000.0,1,2,6,choice,3,-2,-2.0,5,5,2,2,0.0
162,202,wbc9e827,Large,0.0,1755.0,1,3,6,choice,2,-1,-3.0,5,5,1,1,-1.0
163,203,wbc9e827,Pattern,1.0,767.0,1,4,6,choice,4,4,2.0,5,5,4,4,2.0
164,204,wbc9e827,Small,0.0,1033.0,1,1,7,choice,1,-2,-2.0,5,5,1,1,-2.0
165,205,wbc9e827,Sea,1.0,2146.0,1,2,7,choice,3,4,2.0,5,5,3,3,2.0
166,206,wbc9e827,Animal,0.0,1588.0,1,3,7,choice,2,-1,-1.0,5,5,2,3,-1.0
167,207,wbc9e827,Pattern,0.0,1487.0,1,4,7,choice,4,-1,-1.0,5,5,4,5,-1.0
168,208,we368c94,Small,1.0,2563.0,1,1,1,choice,1,2,1.0,5,5,1,2,1.0
169,209,we368c94,Land,0.0,3806.0,1,2,1,choice,2,-4,-4.0,5,5,2,3,-4.0
170,210,we368c94,Animal,0.0,1954.0,1,3,1,choice,3,-2,-1.0,5,5,3,4,-1.0
171,211,we368c94,Solid,1.0,2382.0,0,4,1,choice,4,-1,-1.0,5,5,4,5,-1.0
172,212,we368c94,Small,1.0,3074.0,1,1,2,choice,3,2,2.0,6,6,3,3,2.0
173,213,we368c94,Object,1.0,3323.0,0,2,2,choice,4,-4,3.0,6,6,4,4,3.0
174,214,we368c94,Land,0.0,3624.0,1,3,2,choice,2,-3,0.0,6,6,2,2,0.0
175,215,we368c94,Pattern,1.0,4259.0,0,4,2,choice,1,-1,-1.0,6,6,1,1,-1.0
176,216,we368c94,Object,0.0,951.0,0,1,3,choice,4,1,4.0,5,5,3,3,2.0
177,217,we368c94,Large,1.0,4967.0,0,2,3,choice,2,-2,1.0,5,5,1,2,-1.0
178,218,we368c94,Land,0.0,2143.0,0,3,3,choice,1,1,1.0,5,5,1,1,1.0
179,219,we368c94,Solid,1.0,2654.0,1,4,3,choice,3,2,5.0,5,5,2,3,3.0
180,220,we368c94,Pattern,0.0,1601.0,1,1,4,choice,4,-1,-1.0,6,6,4,4,-1.0
181,221,we368c94,Animal,1.0,851.0,1,2,4,choice,1,1,1.0,6,6,1,1,1.0
182,222,we368c94,Sea,1.0,2582.0,1,3,4,choice,3,5,4.0,6,6,3,3,4.0
183,223,we368c94,Large,0.0,3070.0,1,4,4,choice,2,-1,-1.0,6,6,2,2,-1.0
184,224,we368c94,Sea,1.0,1792.0,1,1,5,choice,2,1,1.0,6,6,2,2,1.0
185,225,we368c94,Object,0.0,855.0,1,2,5,choice,3,-2,-2.0,6,6,3,3,-2.0
186,226,we368c94,Pattern,1.0,1925.0,1,3,5,choice,4,2,2.0,6,6,4,4,2.0
187,227,we368c94,Large,0.0,3328.0,1,4,5,choice,1,-2,-2.0,6,6,1,1,-2.0
188,228,we368c94,Object,0.0,2034.0,0,1,6,choice,1,1,1.0,6,6,1,1,1.0
189,229,we368c94,Pattern,0.0,2220.0,0,2,6,choice,4,1,3.0,6,6,4,4,3.0
190,230,we368c94,Small,1.0,2224.0,0,3,6,choice,2,-2,0.0,6,6,2,2,0.0
191,231,we368c94,Land,0.0,1792.0,1,4,6,choice,3,-1,3.0,6,6,3,3,3.0
192,232,we368c94,Animal,0.0,2081.0,0,1,7,choice,3,2,1.0,6,6,3,3,1.0
193,233,we368c94,Solid,1.0,3846.0,1,2,7,choice,2,1,0.0,6,6,2,2,0.0
194,234,we368c94,Small,0.0,1750.0,1,3,7,choice,4,-3,-1.0,6,6,4,4,-1.0
195,235,we368c94,Sea,1.0,2180.0,0,4,7,choice,1,-2,-2.0,6,6,1,1,-2.0
196,236,wb900a5f,Animal,1.0,3001.0,0,1,1,choice,3,-5,-2.0,5,5,2,3,-1.0
197,237,wb900a5f,Land,0.0,1676.0,0,2,1,choice,2,1,-3.0,5,5,2,3,-3.0
198,238,wb900a5f,Small,1.0,2089.0,1,3,1,choice,1,2,1.0,5,5,1,2,1.0
199,239,wb900a5f,Solid,1.0,2247.0,1,4,1,choice,4,1,-1.0,5,5,4,4,-1.0
200,240,wb900a5f,Land,1.0,3210.0,1,1,2,choice,2,2,1.0,3,3,1,2,0.0
