,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,dim_shown,expected_dim
32,79,webf5097,Blue,1.0,1388.0,0,3,9,choice,After,Object,2,-2,1.0,3,3,1,1,None,False
33,80,webf5097,Food,0.0,1944.0,0,4,9,choice,After,Object,3,2,2.0,3,3,1,1,None,False
34,81,webf5097,Scene,0.0,1665.0,0,5,9,choice,After,Object,1,1,1.0,3,3,1,1,None,False
35,82,webf5097,Green,1.0,1546.0,1,6,9,choice,After,Object,3,2,3.0,3,3,1,1,None,False
36,88,w68730bb,Animal,1.0,2095.0,1,1,9,choice,After,Animal,1,2,2.0,2,2,0,1,None,False
37,89,w68730bb,Yellow,0.0,529.0,0,2,9,choice,After,Animal,3,2,-2.0,2,2,1,2,None,False
38,90,w68730bb,Blue,1.0,582.0,1,3,9,choice,After,Animal,1,1,2.0,2,2,1,2,None,False
39,91,w68730bb,Green,1.0,282.0,0,4,9,choice,After,Animal,2,-3,1.0,2,2,0,0,None,False
40,92,w68730bb,Scene,1.0,961.0,0,5,9,choice,After,Animal,3,-3,-1.0,2,2,2,2,None,False
41,93,w68730bb,Food,0.0,1000.0,0,6,9,choice,After,Animal,2,1,0.0,2,2,0,1,None,False
42,101,we9631be,Scene,,,0,1,9,choice,Before,Scene,3,1,-2.0,2,2,1,1,Scene,True
43,102,we9631be,Red,,,0,2,9,choice,Before,Scene,3,-3,5.0,2,2,0,0,Scene,False
44,103,we9631be,Animal,,,0,3,9,choice,Before,Scene,1,-2,2.0,2,2,0,1,Scene,False
45,104,we9631be,Yellow,,,0,4,9,choice,Before,Scene,2,3,-3.0,2,2,1,2,Scene,False
46,105,we9631be,Object,,,0,5,9,choice,Before,Scene,2,-1,1.0,2,2,1,1,Scene,False
47,106,we9631be,Blue,,,0,6,9,choice,Before,Scene,1,-2,-1.0,2,2,1,2,Scene,False
48,115,w245142a,Animal,1.0,4771.0,1,1,9,choice,After,Animal,1,2,2.0,6,6,1,1,None,False
49,116,w245142a,Scene,0.0,6154.0,1,2,9,choice,After,Animal,2,-3,-3.0,6,6,2,2,None,False
50,117,w245142a,Green,1.0,3914.0,1,3,9,choice,After,Animal,3,3,3.0,6,6,3,3,None,False
51,118,w245142a,Yellow,1.0,3147.0,1,4,9,choice,After,Animal,1,2,2.0,6,6,1,1,None,False
52,119,w245142a,Red,0.0,3388.0,1,5,9,choice,After,Animal,2,-3,-3.0,6,6,2,2,None,False
53,120,w245142a,Food,1.0,3723.0,1,6,9,choice,After,Animal,3,3,3.0,6,6,3,3,None,False
54,129,w4bf9dec,Green,1.0,2850.0,1,1,9,choice,Before,Green,2,4,4.0,5,5,2,2,Green,True
55,130,w4bf9dec,Animal,1.0,4210.0,1,2,9,choice,Before,Green,2,1,1.0,5,5,1,1,Green,False
56,131,w4bf9dec,Object,0.0,2204.0,1,3,9,choice,Before,Green,3,-1,-1.0,5,5,3,3,Green,False
57,132,w4bf9dec,Red,0.0,2754.0,1,4,9,choice,Before,Green,1,-1,-1.0,5,5,1,2,Green,False
58,133,w4bf9dec,Blue,0.0,1627.0,1,5,9,choice,Before,Green,3,-2,-4.0,5,5,2,2,Green,False
59,134,w4bf9dec,Food,1.0,4353.0,1,6,9,choice,Before,Green,1,1,-1.0,5,5,1,2,Green,False
60,143,w277fccf,Scene,0.0,4640.0,0,1,9,choice,After,Scene,3,2,-2.0,6,6,3,3,None,False
61,144,w277fccf,Animal,0.0,3694.0,1,2,9,choice,After,Scene,2,-1,-1.0,6,6,2,2,None,False
62,145,w277fccf,Blue,0.0,4582.0,0,3,9,choice,After,Scene,2,3,-1.0,6,6,2,2,None,False
63,146,w277fccf,Yellow,1.0,2588.0,1,4,9,choice,After,Scene,1,2,2.0,6,6,1,1,None,False
64,147,w277fccf,Green,0.0,1345.0,1,5,9,choice,After,Scene,3,-5,-5.0,6,6,3,3,None,False
65,148,w277fccf,Object,0.0,4520.0,1,6,9,choice,After,Scene,1,-1,-1.0,6,6,1,1,None,False
66,157,w50c12e5,Scene,1.0,4090.0,1,1,9,choice,After,Scene,3,2,-1.0,3,3,1,1,None,False
67,158,w50c12e5,Green,0.0,1717.0,0,2,9,choice,After,Scene,3,2,-1.0,3,3,1,1,None,False
68,159,w50c12e5,Object,1.0,2134.0,1,3,9,choice,After,Scene,1,2,1.0,3,3,0,1,None,False
69,160,w50c12e5,Yellow,0.0,3103.0,1,4,9,choice,After,Scene,1,-1,2.0,3,3,1,1,None,False
70,161,w50c12e5,Blue,0.0,1205.0,1,5,9,choice,After,Scene,2,-1,-4.0,3,3,1,2,None,False
71,162,w50c12e5,Animal,1.0,2348.0,0,6,9,choice,After,Scene,2,-4,-3.0,3,3,2,3,None,False
72,185,w8d745f1,Green,1.0,2021.0,1,1,9,choice,After,Green,3,3,3.0,6,6,3,3,None,False
73,186,w8d745f1,Red,0.0,2552.0,1,2,9,choice,After,Green,2,-1,-1.0,6,6,2,2,None,False
74,187,w8d745f1,Yellow,0.0,1332.0,1,3,9,choice,After,Green,1,-2,-2.0,6,6,1,1,None,False
75,188,w8d745f1,Scene,1.0,1680.0,1,4,9,choice,After,Green,2,3,3.0,6,6,2,2,None,False
76,189,w8d745f1,Object,1.0,2523.0,1,5,9,choice,After,Green,1,2,2.0,6,6,1,1,None,False
77,190,w8d745f1,Food,0.0,1329.0,1,6,9,choice,After,Green,3,-5,-5.0,6,6,3,3,None,False
78,212,w02461c5,Food,0.0,1664.0,1,1,9,choice,Before,Food,1,-1,-1.0,4,4,1,1,Food,True
79,213,w02461c5,Green,1.0,3456.0,0,2,9,choice,Before,Food,3,-1,1.0,4,4,2,2,Food,False
80,214,w02461c5,Object,1.0,1042.0,0,3,9,choice,Before,Food,3,-1,2.0,4,4,2,2,Food,False
81,215,w02461c5,Blue,0.0,2316.0,0,4,9,choice,Before,Food,2,1,1.0,4,4,1,1,Food,False
82,216,w02461c5,Animal,1.0,2340.0,1,5,9,choice,Before,Food,2,4,3.0,4,4,1,1,Food,False
83,217,w02461c5,Yellow,1.0,3823.0,1,6,9,choice,Before,Food,1,2,2.0,4,4,1,1,Food,False
84,226,wcc15547,Blue,0.0,2105.0,1,1,9,choice,Before,Blue,2,-2,0.0,3,3,2,2,Blue,True
85,227,wcc15547,Object,1.0,1155.0,0,2,9,choice,Before,Blue,2,-2,-1.0,3,3,1,2,Blue,False
86,228,wcc15547,Yellow,1.0,598.0,1,3,9,choice,Before,Blue,1,2,2.0,3,3,0,1,Blue,False
87,229,wcc15547,Food,0.0,543.0,0,4,9,choice,Before,Blue,1,1,-1.0,3,3,0,1,Blue,False
88,230,wcc15547,Scene,1.0,539.0,1,5,9,choice,Before,Blue,3,3,3.0,3,3,2,3,Blue,False
89,231,wcc15547,Green,0.0,528.0,0,6,9,choice,Before,Blue,3,2,-1.0,3,3,1,1,Blue,False
90,240,w3b16ba3,Green,0.0,2603.0,1,1,9,choice,Before,Green,3,-2,0.0,5,5,3,3,Green,True
91,241,w3b16ba3,Red,1.0,2791.0,1,2,9,choice,Before,Green,1,1,-1.0,5,5,0,1,Green,False
92,242,w3b16ba3,Animal,0.0,3077.0,1,3,9,choice,Before,Green,2,-1,-3.0,5,5,2,2,Green,False
93,243,w3b16ba3,Blue,0.0,3390.0,1,4,9,choice,Before,Green,2,-1,-1.0,5,5,2,2,Green,False
94,244,w3b16ba3,Object,1.0,1718.0,1,5,9,choice,Before,Green,3,1,-1.0,5,5,2,2,Green,False
95,245,w3b16ba3,Scene,1.0,2072.0,0,6,9,choice,Before,Green,1,-2,2.0,5,5,1,1,Green,False
96,274,w90f4896,Green,1.0,3102.0,1,1,9,choice,After,Green,1,1,1.0,5,5,1,1,None,False
97,275,w90f4896,Red,1.0,2059.0,1,2,9,choice,After,Green,2,4,2.0,5,5,1,1,None,False
98,276,w90f4896,Food,0.0,2892.0,0,3,9,choice,After,Green,3,1,1.0,5,5,2,2,None,False
99,277,w90f4896,Yellow,0.0,824.0,1,4,9,choice,After,Green,3,-5,-5.0,5,5,3,3,None,False
100,278,w90f4896,Scene,0.0,2504.0,1,5,9,choice,After,Green,1,-2,-2.0,5,5,1,1,None,False
101,279,w90f4896,Animal,0.0,588.0,0,6,9,choice,After,Green,2,1,-1.0,5,5,2,2,None,False
102,288,we2434bb,Yellow,1.0,6788.0,1,1,9,choice,Before,Yellow,1,1,1.0,4,4,1,1,Yellow,True
103,289,we2434bb,Blue,0.0,3052.0,0,2,9,choice,Before,Yellow,2,1,0.0,4,4,1,1,Yellow,False
104,290,we2434bb,Red,0.0,3969.0,1,3,9,choice,Before,Yellow,3,-1,-2.0,4,4,2,3,Yellow,False
105,291,we2434bb,Scene,1.0,2142.0,0,4,9,choice,Before,Yellow,3,-1,1.0,4,4,2,2,Yellow,False
106,292,we2434bb,Object,1.0,2772.0,1,5,9,choice,Before,Yellow,1,1,1.0,4,4,1,1,Yellow,False
107,293,we2434bb,Food,1.0,1419.0,1,6,9,choice,Before,Yellow,2,1,-3.0,4,4,1,1,Yellow,False
108,302,w05f4989,Object,0.0,2454.0,1,1,9,choice,Before,Object,2,-4,-4.0,6,6,2,2,Object,True
109,303,w05f4989,Food,0.0,4346.0,1,2,9,choice,Before,Object,1,-1,-1.0,6,6,1,1,Object,False
110,304,w05f4989,Yellow,0.0,4804.0,1,3,9,choice,Before,Object,3,-1,-1.0,6,6,3,3,Object,False
111,305,w05f4989,Green,1.0,1833.0,1,4,9,choice,Before,Object,1,2,2.0,6,6,1,1,Object,False
112,306,w05f4989,Animal,1.0,1204.0,1,5,9,choice,Before,Object,3,5,5.0,6,6,3,3,Object,False
113,307,w05f4989,Blue,0.0,1097.0,1,6,9,choice,Before,Object,2,-1,-1.0,6,6,2,2,Object,False
114,316,w4ed0320,Animal,0.0,3780.0,1,1,9,choice,Before,Animal,3,-2,-3.0,6,6,3,3,Animal,True
115,317,w4ed0320,Red,1.0,2114.0,0,2,9,choice,Before,Animal,1,-2,-2.0,6,6,1,1,Animal,False
116,318,w4ed0320,Yellow,0.0,2843.0,0,3,9,choice,Before,Animal,3,4,2.0,6,6,3,3,Animal,False
117,319,w4ed0320,Object,1.0,1951.0,1,4,9,choice,Before,Animal,1,1,2.0,6,6,1,1,Animal,False
118,320,w4ed0320,Blue,0.0,1555.0,1,5,9,choice,Before,Animal,2,-2,0.0,6,6,2,2,Animal,False
119,321,w4ed0320,Scene,0.0,3054.0,0,6,9,choice,Before,Animal,2,1,1.0,6,6,2,2,Animal,False
120,335,w605fd50,Green,0.0,2254.0,1,1,9,choice,Before,Green,3,-1,3.0,4,4,3,3,Green,True
121,336,w605fd50,Object,0.0,5346.0,1,2,9,choice,Before,Green,3,-2,0.0,4,4,1,1,Green,False
122,337,w605fd50,Yellow,1.0,5696.0,0,3,9,choice,Before,Green,1,-1,-1.0,4,4,0,0,Green,False
123,338,w605fd50,Blue,0.0,1971.0,0,4,9,choice,Before,Green,2,3,-2.0,4,4,1,2,Green,False
124,339,w605fd50,Food,1.0,6811.0,1,5,9,choice,Before,Green,1,2,-1.0,4,4,1,2,Green,False
125,340,w605fd50,Animal,0.0,2170.0,0,6,9,choice,Before,Green,2,1,1.0,4,4,2,2,Green,False
126,349,wb772565,Blue,0.0,2992.0,1,1,9,choice,Before,Blue,2,-3,1.0,3,3,1,1,Blue,True
127,350,wb772565,Green,1.0,1433.0,1,2,9,choice,Before,Blue,1,2,2.0,3,3,1,1,Blue,False
128,351,wb772565,Animal,0.0,2338.0,0,3,9,choice,Before,Blue,3,1,3.0,3,3,2,2,Blue,False
129,352,wb772565,Red,0.0,2033.0,0,4,9,choice,Before,Blue,3,1,-2.0,3,3,1,1,Blue,False
130,353,wb772565,Object,0.0,3303.0,0,5,9,choice,Before,Blue,2,1,-3.0,3,3,1,2,Blue,False
131,354,wb772565,Food,0.0,2518.0,1,6,9,choice,Before,Blue,1,-2,1.0,3,3,0,1,Blue,False
132,363,w3fdf5b1,Animal,1.0,4755.0,1,1,9,choice,After,Animal,2,1,1.0,6,6,2,2,None,False
133,364,w3fdf5b1,Yellow,1.0,2752.0,1,2,9,choice,After,Animal,1,1,2.0,6,6,1,1,None,False
134,365,w3fdf5b1,Blue,0.0,2664.0,0,3,9,choice,After,Animal,2,1,0.0,6,6,2,2,None,False
135,366,w3fdf5b1,Green,0.0,3623.0,1,4,9,choice,After,Animal,3,-2,-2.0,6,6,3,3,None,False
136,367,w3fdf5b1,Object,1.0,2986.0,1,5,9,choice,After,Animal,1,1,1.0,6,6,1,1,None,False
137,368,w3fdf5b1,Scene,1.0,5283.0,0,6,9,choice,After,Animal,3,-2,-2.0,6,6,3,3,None,False
138,377,w11538ef,Object,0.0,2483.0,1,1,9,choice,Before,Object,1,-1,-2.0,4,4,1,1,Object,True
139,378,w11538ef,Food,0.0,3265.0,1,2,9,choice,Before,Object,3,-2,1.0,4,4,2,3,Object,False
140,379,w11538ef,Green,1.0,2593.0,0,3,9,choice,Before,Object,3,-1,-2.0,4,4,2,2,Object,False
141,380,w11538ef,Scene,1.0,3819.0,1,4,9,choice,Before,Object,2,4,-2.0,4,4,1,1,Object,False
142,381,w11538ef,Yellow,1.0,2314.0,1,5,9,choice,Before,Object,1,1,1.0,4,4,0,0,Object,False
143,382,w11538ef,Red,0.0,4931.0,0,6,9,choice,Before,Object,2,1,-2.0,4,4,2,3,Object,False
144,390,wdab535b,Food,0.0,3995.0,0,1,9,choice,Before,Food,2,1,-3.0,2,2,1,1,Food,True
145,391,wdab535b,Yellow,0.0,2715.0,0,2,9,choice,Before,Food,3,5,-2.0,2,2,0,0,Food,False
146,392,wdab535b,Blue,1.0,3769.0,0,3,9,choice,Before,Food,1,-2,1.0,2,2,1,1,Food,False
147,393,wdab535b,Scene,0.0,1004.0,1,4,9,choice,Before,Food,3,-1,2.0,2,2,1,1,Food,False
148,394,wdab535b,Animal,0.0,1380.0,0,5,9,choice,Before,Food,1,1,1.0,2,2,0,1,Food,False
149,395,wdab535b,Green,0.0,602.0,1,6,9,choice,Before,Food,2,-2,1.0,2,2,1,1,Food,False
150,404,wc294ae3,Blue,1.0,3483.0,0,1,9,choice,After,Blue,2,-1,1.0,3,3,1,1,None,False
151,405,wc294ae3,Yellow,0.0,3512.0,0,2,9,choice,After,Blue,3,3,-2.0,3,3,1,1,None,False
152,406,wc294ae3,Object,1.0,3288.0,1,3,9,choice,After,Blue,1,2,-1.0,3,3,0,0,None,False
153,407,wc294ae3,Scene,0.0,1886.0,1,4,9,choice,After,Blue,2,-3,3.0,3,3,1,1,None,False
154,408,wc294ae3,Red,1.0,2372.0,0,5,9,choice,After,Blue,1,-2,-2.0,3,3,1,2,None,False
155,409,wc294ae3,Animal,0.0,2909.0,0,6,9,choice,After,Blue,3,1,-5.0,3,3,2,2,None,False
156,418,w0d62ec5,Blue,0.0,4856.0,0,1,9,choice,Before,Blue,1,1,-2.0,3,3,1,1,Blue,True
157,419,w0d62ec5,Object,,,0,2,9,choice,Before,Blue,1,-2,-2.0,3,3,0,1,Blue,False
158,420,w0d62ec5,Scene,1.0,3808.0,1,3,9,choice,Before,Blue,3,1,-2.0,3,3,3,3,Blue,False
159,421,w0d62ec5,Yellow,0.0,3280.0,0,4,9,choice,Before,Blue,2,4,1.0,3,3,1,2,Blue,False
160,422,w0d62ec5,Red,0.0,2409.0,1,5,9,choice,Before,Blue,3,-5,-5.0,3,3,1,1,Blue,False
161,423,w0d62ec5,Animal,0.0,3273.0,0,6,9,choice,Before,Blue,2,1,-2.0,3,3,0,0,Blue,False
162,432,wb0b75c3,Food,1.0,2445.0,1,1,9,choice,Before,Food,3,3,5.0,4,4,2,2,Food,True
163,433,wb0b75c3,Red,0.0,1965.0,1,2,9,choice,Before,Food,3,-1,-2.0,4,4,1,1,Food,False
164,434,wb0b75c3,Animal,1.0,2494.0,0,3,9,choice,Before,Food,1,-2,-2.0,4,4,1,1,Food,False
165,435,wb0b75c3,Object,0.0,1866.0,0,4,9,choice,Before,Food,2,1,-2.0,4,4,1,1,Food,False
166,436,wb0b75c3,Yellow,0.0,3899.0,0,5,9,choice,Before,Food,2,1,1.0,4,4,2,2,Food,False
167,437,wb0b75c3,Green,1.0,1694.0,1,6,9,choice,Before,Food,1,2,2.0,4,4,1,1,Food,False
168,446,w4400cbf,Animal,1.0,5322.0,1,1,9,choice,After,Animal,2,4,1.0,5,5,2,2,None,False
169,447,w4400cbf,Red,0.0,5165.0,1,2,9,choice,After,Animal,1,-1,-1.0,5,5,1,1,None,False
170,448,w4400cbf,Green,1.0,4921.0,1,3,9,choice,After,Animal,3,2,2.0,5,5,2,2,None,False
171,449,w4400cbf,Scene,0.0,4216.0,1,4,9,choice,After,Animal,1,-1,-1.0,5,5,0,0,None,False
172,450,w4400cbf,Blue,1.0,5179.0,1,5,9,choice,After,Animal,2,1,-2.0,5,5,2,2,None,False
173,451,w4400cbf,Object,1.0,4812.0,0,6,9,choice,After,Animal,3,-1,-1.0,5,5,3,3,None,False
174,473,wbc79189,Scene,0.0,1052.0,0,1,9,choice,After,Scene,1,1,-1.0,5,5,1,2,None,False
175,474,wbc79189,Green,0.0,1743.0,1,2,9,choice,After,Scene,1,-2,-1.0,5,5,0,1,None,False
176,475,wbc79189,Red,0.0,1236.0,1,3,9,choice,After,Scene,3,-3,-5.0,5,5,3,3,None,False
177,476,wbc79189,Animal,0.0,1184.0,1,4,9,choice,After,Scene,2,-1,-1.0,5,5,2,2,None,False
178,477,wbc79189,Yellow,1.0,663.0,1,5,9,choice,After,Scene,2,2,2.0,5,5,2,2,None,False
179,478,wbc79189,Food,0.0,889.0,1,6,9,choice,After,Scene,3,-3,-2.0,5,5,2,2,None,False
180,487,w6bec3e7,Red,1.0,3281.0,1,1,9,choice,After,Red,1,2,2.0,4,4,1,2,None,False
181,488,w6bec3e7,Yellow,0.0,3743.0,0,2,9,choice,After,Red,2,4,1.0,4,4,2,3,None,False
182,489,w6bec3e7,Animal,0.0,4213.0,0,3,9,choice,After,Red,2,1,-2.0,4,4,1,1,None,False
183,490,w6bec3e7,Object,1.0,1349.0,1,4,9,choice,After,Red,3,2,2.0,4,4,2,2,None,False
184,491,w6bec3e7,Blue,0.0,1854.0,1,5,9,choice,After,Red,3,-4,-4.0,4,4,1,1,None,False
185,492,w6bec3e7,Food,0.0,1738.0,1,6,9,choice,After,Red,1,-1,-1.0,4,4,1,1,None,False
186,501,w6ea0c26,Object,1.0,3903.0,0,1,9,choice,Before,Object,3,-1,-3.0,3,3,2,3,Object,True
187,502,w6ea0c26,Scene,0.0,2847.0,0,2,9,choice,Before,Object,2,4,1.0,3,3,1,2,Object,False
188,503,w6ea0c26,Green,1.0,1029.0,0,3,9,choice,Before,Object,1,-1,-2.0,3,3,1,1,Object,False
189,504,w6ea0c26,Food,1.0,984.0,0,4,9,choice,Before,Object,1,-1,-2.0,3,3,0,1,Object,False
190,505,w6ea0c26,Blue,1.0,795.0,0,5,9,choice,Before,Object,3,-1,-2.0,3,3,1,1,Object,False
191,506,w6ea0c26,Yellow,1.0,3289.0,1,6,9,choice,Before,Object,2,4,0.0,3,3,1,1,Object,False
192,515,w924a500,Food,0.0,2878.0,1,1,9,choice,Before,Food,2,-3,0.0,6,6,2,2,Food,True
193,516,w924a500,Green,1.0,4216.0,0,2,9,choice,Before,Food,2,-2,-2.0,6,6,2,2,Food,False
194,517,w924a500,Red,1.0,4281.0,1,3,9,choice,Before,Food,1,2,2.0,6,6,1,1,Food,False
195,518,w924a500,Yellow,1.0,3430.0,1,4,9,choice,Before,Food,3,1,3.0,6,6,3,3,Food,False
196,519,w924a500,Object,0.0,3425.0,0,5,9,choice,Before,Food,1,2,1.0,6,6,1,1,Food,False
197,520,w924a500,Scene,0.0,3595.0,0,6,9,choice,Before,Food,3,2,2.0,6,6,3,3,Food,False
198,527,w10f7bc5,Red,1.0,3430.0,1,1,9,choice,After,Red,2,3,-1.0,4,4,2,2,None,False
199,528,w10f7bc5,Animal,0.0,1521.0,1,2,9,choice,After,Red,1,-2,-1.0,4,4,0,0,None,False
200,529,w10f7bc5,Blue,0.0,1695.0,1,3,9,choice,After,Red,1,-1,-1.0,4,4,0,0,None,False
201,530,w10f7bc5,Food,1.0,1727.0,1,4,9,choice,After,Red,3,1,1.0,4,4,2,2,None,False
202,531,w10f7bc5,Scene,0.0,1481.0,0,5,9,choice,After,Red,2,1,-4.0,4,4,2,2,None,False
203,532,w10f7bc5,Green,1.0,1987.0,0,6,9,choice,After,Red,3,-2,-2.0,4,4,2,2,None,False
204,541,w2c75db7,Green,1.0,7449.0,1,1,9,choice,After,Green,2,1,-2.0,3,3,1,1,None,False
205,542,w2c75db7,Food,0.0,2002.0,0,2,9,choice,After,Green,2,1,-2.0,3,3,0,1,None,False
206,543,w2c75db7,Blue,1.0,1050.0,1,3,9,choice,After,Green,1,1,1.0,3,3,1,2,None,False
207,544,w2c75db7,Scene,0.0,1770.0,0,4,9,choice,After,Green,3,1,2.0,3,3,2,2,None,False
208,545,w2c75db7,Animal,0.0,1042.0,1,5,9,choice,After,Green,1,-1,-1.0,3,3,1,2,None,False
209,546,w2c75db7,Yellow,0.0,819.0,1,6,9,choice,After,Green,3,-1,0.0,3,3,1,2,None,False
210,555,w2c1f2f7,Food,0.0,2326.0,1,1,9,choice,Before,Food,3,-1,-1.0,5,5,3,3,Food,True
211,556,w2c1f2f7,Animal,1.0,1285.0,0,2,9,choice,Before,Food,2,-1,0.0,5,5,1,1,Food,False
212,557,w2c1f2f7,Scene,0.0,2749.0,0,3,9,choice,Before,Food,1,1,2.0,5,5,1,2,Food,False
213,558,w2c1f2f7,Blue,1.0,2506.0,1,4,9,choice,Before,Food,1,2,2.0,5,5,1,1,Food,False
214,559,w2c1f2f7,Green,1.0,1879.0,1,5,9,choice,Before,Food,3,1,2.0,5,5,3,3,Food,False
215,560,w2c1f2f7,Yellow,0.0,2935.0,1,6,9,choice,Before,Food,2,-4,-3.0,5,5,1,2,Food,False
216,569,wace8728,Yellow,1.0,1998.0,1,1,9,choice,Before,Yellow,1,2,0.0,3,3,1,1,Yellow,True
217,570,wace8728,Scene,0.0,2583.0,0,2,9,choice,Before,Yellow,1,1,0.0,3,3,0,0,Yellow,False
218,571,wace8728,Green,0.0,2878.0,1,3,9,choice,Before,Yellow,2,-3,0.0,3,3,1,1,Yellow,False
219,572,wace8728,Object,0.0,3057.0,0,4,9,choice,Before,Yellow,3,3,0.0,3,3,2,2,Yellow,False
220,573,wace8728,Red,1.0,1563.0,1,5,9,choice,Before,Yellow,3,2,0.0,3,3,1,1,Yellow,False
221,574,wace8728,Animal,0.0,1777.0,1,6,9,choice,Before,Yellow,2,-3,0.0,3,3,1,1,Yellow,False
222,583,wd07cb72,Scene,0.0,687.0,1,1,9,choice,Before,Scene,2,-3,-4.0,4,4,1,2,Scene,True
223,584,wd07cb72,Animal,1.0,411.0,1,2,9,choice,Before,Scene,3,4,4.0,4,4,3,3,Scene,False
224,585,wd07cb72,Object,0.0,458.0,1,3,9,choice,Before,Scene,1,-2,2.0,4,4,0,0,Scene,False
225,586,wd07cb72,Yellow,0.0,1957.0,1,4,9,choice,Before,Scene,3,-3,1.0,4,4,1,1,Scene,False
226,587,wd07cb72,Red,1.0,2100.0,1,5,9,choice,Before,Scene,1,1,1.0,4,4,1,2,Scene,False
227,588,wd07cb72,Blue,1.0,426.0,1,6,9,choice,Before,Scene,2,1,0.0,4,4,2,2,Scene,False
228,597,w0fd8c2c,Blue,1.0,1702.0,1,1,9,choice,After,Blue,1,2,-2.0,5,5,1,1,None,False
229,598,w0fd8c2c,Red,0.0,3946.0,1,2,9,choice,After,Blue,3,-1,-1.0,5,5,2,2,None,False
