"elpd_total","elpd_relevant","elpd_diff"
-7.65751926720036,-7.62547341728947,0.0320458499108858
-7.82063324703338,-7.84160317468165,-0.020969927648272
-8.43927809134384,-8.50000769467661,-0.0607296033327671
-7.68762202964652,-7.65574663033242,0.0318753993140923
-7.77399299658604,-7.77747872940529,-0.00348573281925457
-7.74971900476133,-7.74564315025325,0.00407585450807435
-7.69839541627042,-7.71476796436656,-0.0163725480961388
-7.61369064627405,-7.51900851359305,0.094682132680993
-8.23320951761361,-8.26045320395982,-0.0272436863462104
-8.99251286697744,-8.95512781675682,0.0373850502206245
-8.26089765391881,-8.36380434619042,-0.102906692271608
-8.23490355161073,-8.22961462344792,0.00528892816281434
-10.5213287375022,-10.2649748029068,0.256353934595442
-8.98996907183203,-9.03537424431353,-0.0454051724815017
-8.75364976497111,-8.7380402075488,0.0156095574223087
-8.51791416903534,-8.55277598746888,-0.0348618184335425
-8.56186666970032,-8.6366671297579,-0.0748004600575776
-8.78390818558682,-8.79700905165532,-0.0131008660685001
-9.6900795031646,-9.57428540332392,0.115794099840679
-8.45433159114637,-8.49201863115303,-0.0376870400066593
-9.10126268724716,-9.0850801965715,0.0161824906756589
-8.77458242584233,-8.73192246744098,0.0426599584013498
-9.24855731914797,-9.33183112211085,-0.0832738029628715
-9.65834463311594,-9.54116344985668,0.117181183259266
-8.75007760545008,-8.77982078881687,-0.0297431833667865
-8.3909087643596,-8.40434021273263,-0.0134314483730229
-8.25784620565641,-8.21171465614327,0.0461315495131362
-9.12273797368988,-9.13711925087411,-0.0143812771842295
-9.73669433712504,-9.60939590314466,0.127298433980378
-8.83936925945562,-8.75351816609846,0.0858510933571566
-9.41514686610977,-9.34113544518762,0.0740114209221492
-9.18903605317989,-9.12782492900316,0.0612111241767312
-9.41225546791687,-9.5340116670624,-0.121756199145524
-9.34555947657821,-9.31194178856169,0.0336176880165144
-10.1177384508402,-10.0194627641498,0.0982756866904602
-9.84694793610564,-9.83122047017734,0.0157274659283075
-8.23159431222294,-8.25730463432367,-0.0257103221007213
-9.65620382032315,-9.67563322961442,-0.0194294092912699
-10.2195317417601,-10.2338453388378,-0.0143135970776918
-8.253776920681,-8.29742528887924,-0.0436483681982374
-10.8023927664966,-10.9287477391095,-0.126354972612846
-9.5730888925216,-9.62864689742853,-0.0555580049069331
-7.92947012809629,-7.92881688006186,0.000653248034432785
-8.94977146927846,-9.016837130014,-0.0670656607355404
-8.70388328890215,-8.85310123981677,-0.14921795091462
-15.4572663033574,-16.3991809649405,-0.941914661583038
-8.39550953338068,-8.40745343111699,-0.0119438977363142
-10.3900169622192,-10.2807804504658,0.109236511753332
-8.34491534674962,-8.39212486812723,-0.0472095213776118
-9.52772601371793,-9.50239057253491,0.0253354411830244
-7.91193436707012,-7.91267240123824,-0.000738034168116464
-7.98485214638566,-8.01842706922924,-0.0335749228435827
-8.06278020857815,-8.05507305234154,0.00770715623660756
-9.41375426588477,-9.43122537565687,-0.0174711097720994
